loan_to_income_ratio,loan_to_income_band
0.24,Moderate Ratio
0.2,Moderate Ratio
0.04,Low Ratio
148.92,High Ratio
0.09,Low Ratio
0.21,Moderate Ratio
0.18,Moderate Ratio
0.28,Moderate Ratio
0.09,Low Ratio
0.17,Moderate Ratio
0.11,Moderate Ratio
0.19,Moderate Ratio
0.06,Low Ratio
0.25,Moderate Ratio
150.0,High Ratio
0.23,Moderate Ratio
0.11,Moderate Ratio
0.42,High Ratio
0.15,Moderate Ratio
0.14,Moderate Ratio
0.09,Low Ratio
0.33,High Ratio
0.18,Moderate Ratio
0.18,Moderate Ratio
0.24,Moderate Ratio
0.08,Low Ratio
0.08,Low Ratio
0.3,Moderate Ratio
0.39,High Ratio
0.05,Low Ratio
0.48,High Ratio
0.07,Low Ratio
83.33,High Ratio
0.1,Moderate Ratio
0.2,Moderate Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
0.13,Moderate Ratio
0.07,Low Ratio
0.03,Low Ratio
0.12,Moderate Ratio
0.15,Moderate Ratio
0.23,Moderate Ratio
0.07,Low Ratio
0.18,Moderate Ratio
0.05,Low Ratio
0.18,Moderate Ratio
0.09,Low Ratio
0.18,Moderate Ratio
0.03,Low Ratio
0.06,Low Ratio
0.08,Low Ratio
95.24,High Ratio
0.09,Low Ratio
0.13,Moderate Ratio
0.36,High Ratio
131.54,High Ratio
0.08,Low Ratio
0.33,High Ratio
0.04,Low Ratio
0.13,Moderate Ratio
0.1,Moderate Ratio
0.05,Low Ratio
0.15,Moderate Ratio
0.31,High Ratio
0.19,Moderate Ratio
0.1,Moderate Ratio
0.36,High Ratio
0.05,Low Ratio
0.21,Moderate Ratio
0.27,Moderate Ratio
0.13,Moderate Ratio
0.08,Low Ratio
0.07,Low Ratio
0.3,Moderate Ratio
0.36,High Ratio
0.2,Moderate Ratio
0.08,Low Ratio
0.15,Moderate Ratio
0.14,Moderate Ratio
0.34,High Ratio
0.21,Moderate Ratio
0.14,Moderate Ratio
0.09,Low Ratio
0.09,Low Ratio
0.21,Moderate Ratio
0.07,Low Ratio
92.59,High Ratio
0.07,Low Ratio
0.32,High Ratio
0.08,Low Ratio
0.13,Moderate Ratio
0.08,Low Ratio
0.1,Moderate Ratio
0.08,Low Ratio
200.0,High Ratio
0.14,Moderate Ratio
0.04,Low Ratio
0.33,High Ratio
0.16,Moderate Ratio
0.05,Low Ratio
60.0,High Ratio
0.17,Moderate Ratio
0.08,Low Ratio
0.06,Low Ratio
160.9,High Ratio
0.06,Low Ratio
0.17,Moderate Ratio
0.15,Moderate Ratio
0.1,Moderate Ratio
0.23,Moderate Ratio
0.3,Moderate Ratio
0.34,High Ratio
0.08,Low Ratio
166.67,High Ratio
0.06,Low Ratio
0.25,Moderate Ratio
0.03,Low Ratio
0.18,Moderate Ratio
0.21,Moderate Ratio
0.05,Low Ratio
300.0,High Ratio
0.06,Low Ratio
0.14,Moderate Ratio
0.23,Moderate Ratio
81.3,High Ratio
0.23,Moderate Ratio
0.09,Low Ratio
0.13,Moderate Ratio
0.15,Moderate Ratio
0.27,Moderate Ratio
0.29,Moderate Ratio
0.11,Moderate Ratio
0.09,Low Ratio
0.06,Low Ratio
0.03,Low Ratio
62.5,High Ratio
0.25,Moderate Ratio
0.07,Low Ratio
0.2,Moderate Ratio
0.34,High Ratio
0.06,Low Ratio
0.25,Moderate Ratio
0.16,Moderate Ratio
0.12,Moderate Ratio
0.17,Moderate Ratio
0.11,Moderate Ratio
0.15,Moderate Ratio
0.13,Moderate Ratio
83.33,High Ratio
0.3,Moderate Ratio
85.71,High Ratio
0.15,Moderate Ratio
0.33,High Ratio
0.25,Moderate Ratio
0.03,Low Ratio
0.19,Moderate Ratio
0.32,High Ratio
0.09,Low Ratio
0.07,Low Ratio
0.17,Moderate Ratio
0.18,Moderate Ratio
122.95,High Ratio
0.07,Low Ratio
50.0,High Ratio
0.19,Moderate Ratio
0.11,Moderate Ratio
160.0,High Ratio
0.15,Moderate Ratio
0.17,Moderate Ratio
0.08,Low Ratio
0.06,Low Ratio
48.08,High Ratio
48.82,High Ratio
241.38,High Ratio
0.1,Moderate Ratio
0.36,High Ratio
0.16,Moderate Ratio
0.04,Low Ratio
0.2,Moderate Ratio
0.25,Moderate Ratio
0.15,Moderate Ratio
0.3,High Ratio
0.11,Moderate Ratio
0.18,Moderate Ratio
0.17,Moderate Ratio
0.15,Moderate Ratio
0.08,Low Ratio
0.14,Moderate Ratio
0.17,Moderate Ratio
0.15,Moderate Ratio
0.1,Moderate Ratio
0.2,Moderate Ratio
0.13,Moderate Ratio
0.4,High Ratio
92.31,High Ratio
0.07,Low Ratio
0.15,Moderate Ratio
0.12,Moderate Ratio
0.26,Moderate Ratio
0.16,Moderate Ratio
0.08,Low Ratio
0.17,Moderate Ratio
0.09,Low Ratio
0.38,High Ratio
0.13,Moderate Ratio
0.06,Low Ratio
0.19,Moderate Ratio
0.13,Moderate Ratio
0.03,Low Ratio
0.05,Low Ratio
0.14,Moderate Ratio
0.06,Low Ratio
0.19,Moderate Ratio
0.28,Moderate Ratio
0.08,Low Ratio
54.55,High Ratio
0.13,Moderate Ratio
0.06,Low Ratio
0.17,Moderate Ratio
101.13,High Ratio
0.09,Low Ratio
0.43,High Ratio
0.13,Moderate Ratio
0.02,Low Ratio
0.1,Moderate Ratio
0.17,Moderate Ratio
116.67,High Ratio
0.05,Low Ratio
0.17,Moderate Ratio
0.03,Low Ratio
0.24,Moderate Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
166.59,High Ratio
128.57,High Ratio
0.03,Low Ratio
0.27,Moderate Ratio
0.11,Moderate Ratio
0.2,Moderate Ratio
44.44,High Ratio
0.18,Moderate Ratio
0.17,Moderate Ratio
0.26,Moderate Ratio
0.27,Moderate Ratio
0.09,Low Ratio
0.12,Moderate Ratio
0.18,Moderate Ratio
0.22,Moderate Ratio
0.05,Low Ratio
0.08,Low Ratio
0.3,Moderate Ratio
0.04,Low Ratio
0.12,Moderate Ratio
128.21,High Ratio
0.22,Moderate Ratio
0.17,Moderate Ratio
166.67,High Ratio
0.19,Moderate Ratio
0.26,Moderate Ratio
0.17,Moderate Ratio
0.05,Low Ratio
0.23,Moderate Ratio
218.18,High Ratio
214.29,High Ratio
0.09,Low Ratio
0.1,Moderate Ratio
0.3,High Ratio
0.26,Moderate Ratio
0.21,Moderate Ratio
0.05,Low Ratio
0.09,Low Ratio
0.38,High Ratio
0.06,Low Ratio
0.09,Low Ratio
0.28,Moderate Ratio
166.67,High Ratio
0.24,Moderate Ratio
0.09,Low Ratio
0.24,Moderate Ratio
0.16,Moderate Ratio
0.08,Low Ratio
0.09,Low Ratio
0.08,Low Ratio
0.09,Low Ratio
0.25,Moderate Ratio
0.1,Moderate Ratio
0.1,Moderate Ratio
0.24,Moderate Ratio
0.22,Moderate Ratio
0.12,Moderate Ratio
0.09,Low Ratio
0.17,Moderate Ratio
0.16,Moderate Ratio
0.12,Moderate Ratio
0.11,Moderate Ratio
0.03,Low Ratio
0.06,Low Ratio
0.05,Low Ratio
0.31,High Ratio
0.05,Low Ratio
0.12,Moderate Ratio
0.26,Moderate Ratio
0.12,Moderate Ratio
0.1,Moderate Ratio
0.06,Low Ratio
0.09,Low Ratio
0.13,Moderate Ratio
0.24,Moderate Ratio
0.04,Low Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
285.71,High Ratio
0.17,Moderate Ratio
0.33,High Ratio
0.1,Moderate Ratio
0.23,Moderate Ratio
0.17,Moderate Ratio
0.1,Moderate Ratio
0.14,Moderate Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.15,Moderate Ratio
133.33,High Ratio
0.11,Moderate Ratio
181.33,High Ratio
0.11,Moderate Ratio
0.1,Moderate Ratio
0.24,Moderate Ratio
0.09,Low Ratio
0.19,Moderate Ratio
0.27,Moderate Ratio
0.28,Moderate Ratio
0.16,Moderate Ratio
0.24,Moderate Ratio
0.07,Low Ratio
0.1,Moderate Ratio
0.15,Moderate Ratio
0.2,Moderate Ratio
0.1,Moderate Ratio
140.0,High Ratio
0.1,Moderate Ratio
0.17,Moderate Ratio
0.13,Moderate Ratio
0.19,Moderate Ratio
0.15,Moderate Ratio
0.05,Low Ratio
0.03,Low Ratio
0.12,Moderate Ratio
0.08,Low Ratio
0.24,Moderate Ratio
30.0,High Ratio
0.27,Moderate Ratio
0.1,Moderate Ratio
0.19,Moderate Ratio
285.71,High Ratio
0.21,Moderate Ratio
0.1,Low Ratio
0.05,Low Ratio
0.13,Moderate Ratio
0.04,Low Ratio
0.06,Low Ratio
0.03,Low Ratio
0.3,High Ratio
0.07,Low Ratio
0.14,Moderate Ratio
0.14,Moderate Ratio
0.01,Low Ratio
0.3,High Ratio
0.11,Moderate Ratio
116.67,High Ratio
384.62,High Ratio
0.11,Moderate Ratio
0.1,Moderate Ratio
144.74,High Ratio
0.27,Moderate Ratio
0.24,Moderate Ratio
0.1,Low Ratio
0.08,Low Ratio
50.0,High Ratio
205.71,High Ratio
0.06,Low Ratio
0.26,Moderate Ratio
0.08,Low Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.1,Moderate Ratio
0.13,Moderate Ratio
0.15,Moderate Ratio
166.67,High Ratio
0.22,Moderate Ratio
0.15,Moderate Ratio
0.19,Moderate Ratio
0.07,Low Ratio
0.01,Low Ratio
0.29,Moderate Ratio
0.18,Moderate Ratio
0.14,Moderate Ratio
0.21,Moderate Ratio
0.2,Moderate Ratio
0.39,High Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.22,Moderate Ratio
0.15,Moderate Ratio
0.23,Moderate Ratio
0.12,Moderate Ratio
0.3,Moderate Ratio
0.08,Low Ratio
0.04,Low Ratio
0.27,Moderate Ratio
0.09,Low Ratio
0.2,Moderate Ratio
0.2,Moderate Ratio
0.07,Low Ratio
0.2,Moderate Ratio
0.32,High Ratio
0.3,Moderate Ratio
0.22,Moderate Ratio
125.0,High Ratio
0.41,High Ratio
0.2,Moderate Ratio
83.33,High Ratio
0.03,Low Ratio
0.17,Moderate Ratio
0.07,Low Ratio
0.24,Moderate Ratio
0.11,Moderate Ratio
0.25,Moderate Ratio
0.2,Moderate Ratio
0.15,Moderate Ratio
0.17,Moderate Ratio
140.0,High Ratio
0.25,Moderate Ratio
0.1,Low Ratio
238.1,High Ratio
0.17,Moderate Ratio
0.22,Moderate Ratio
0.07,Low Ratio
0.07,Low Ratio
0.09,Low Ratio
0.12,Moderate Ratio
0.1,Low Ratio
0.07,Low Ratio
96.15,High Ratio
0.09,Low Ratio
0.13,Moderate Ratio
0.11,Moderate Ratio
0.04,Low Ratio
416.67,High Ratio
0.22,Moderate Ratio
0.05,Low Ratio
42.86,High Ratio
0.41,High Ratio
0.1,Moderate Ratio
0.19,Moderate Ratio
0.13,Moderate Ratio
0.25,Moderate Ratio
0.15,Moderate Ratio
0.27,Moderate Ratio
0.1,Moderate Ratio
0.08,Low Ratio
0.11,Moderate Ratio
0.42,High Ratio
0.22,Moderate Ratio
0.3,Moderate Ratio
0.16,Moderate Ratio
0.11,Moderate Ratio
0.1,Low Ratio
0.18,Moderate Ratio
0.13,Moderate Ratio
0.15,Moderate Ratio
0.27,Moderate Ratio
237.75,High Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.1,Moderate Ratio
41.03,High Ratio
100.0,High Ratio
0.1,Moderate Ratio
0.16,Moderate Ratio
0.07,Low Ratio
0.17,Moderate Ratio
66.67,High Ratio
68.97,High Ratio
0.2,Moderate Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
0.17,Moderate Ratio
0.2,Moderate Ratio
0.13,Moderate Ratio
0.3,Moderate Ratio
120.0,High Ratio
0.11,Moderate Ratio
0.15,Moderate Ratio
0.15,Moderate Ratio
274.17,High Ratio
0.03,Low Ratio
0.2,Moderate Ratio
0.4,High Ratio
0.09,Low Ratio
0.08,Low Ratio
0.3,Moderate Ratio
0.15,Moderate Ratio
0.38,High Ratio
0.08,Low Ratio
0.13,Moderate Ratio
0.2,Moderate Ratio
0.29,Moderate Ratio
0.13,Moderate Ratio
0.06,Low Ratio
0.08,Low Ratio
0.23,Moderate Ratio
0.2,Moderate Ratio
0.3,Moderate Ratio
0.15,Moderate Ratio
