,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,info_0,success,success,deequ,None,33,31,1,3
1,info_0,success,success,deequ,column_skipped,30,28,0,2
2,info_0,success,success,gpt-4o,None,13,13,0,0
3,info_0,success,success,gpt-4o,with_deequ,13,13,0,0
4,info_0,success,success,gpt-4o,with_experience,25,25,0,0
5,info_1,success,success,deequ,None,33,31,1,3
6,info_1,success,success,deequ,column_skipped,30,28,0,2
7,info_1,success,success,gpt-4o,None,6,5,0,1
8,info_1,success,success,gpt-4o,with_deequ,6,5,0,1
9,info_1,success,success,gpt-4o,with_experience,6,5,0,1
10,info_2,success,success,deequ,None,33,31,1,3
11,info_2,success,success,deequ,column_skipped,30,28,0,2
12,info_2,success,success,gpt-4o,None,2,1,0,1
13,info_2,success,success,gpt-4o,with_deequ,5,4,0,1
14,info_2,success,success,gpt-4o,with_experience,4,3,0,1
15,info_3,success,success,deequ,None,33,31,1,3
16,info_3,success,success,deequ,column_skipped,30,28,0,2
17,info_3,success,success,gpt-4o,None,4,3,0,1
18,info_3,success,success,gpt-4o,with_deequ,10,9,0,1
19,info_3,success,success,gpt-4o,with_experience,10,9,0,1
20,info_4,success,success,deequ,None,33,31,1,3
21,info_4,success,success,deequ,column_skipped,30,28,0,2
22,info_4,success,success,gpt-4o,None,5,5,0,0
23,info_4,success,success,gpt-4o,with_deequ,5,5,0,0
24,info_4,success,success,gpt-4o,with_experience,5,5,0,0
25,info_5,success,success,deequ,None,33,31,1,3
26,info_5,success,success,deequ,column_skipped,30,28,0,2
27,info_5,success,success,gpt-4o,None,3,3,0,0
28,info_5,success,success,gpt-4o,with_deequ,5,5,0,0
29,info_5,success,success,gpt-4o,with_experience,3,2,0,1
30,info_6,success,success,deequ,None,33,31,1,3
31,info_6,success,success,deequ,column_skipped,30,28,0,2
32,info_6,success,success,gpt-4o,None,5,4,0,1
33,info_6,success,success,gpt-4o,with_deequ,11,10,0,1
34,info_6,success,success,gpt-4o,with_experience,17,16,0,1
35,info_7,success,success,deequ,None,33,31,1,3
36,info_7,success,success,deequ,column_skipped,30,28,0,2
37,info_7,success,success,gpt-4o,None,10,10,0,0
38,info_7,success,success,gpt-4o,with_deequ,14,14,0,0
39,info_7,success,success,gpt-4o,with_experience,12,12,0,0
40,info_8,success,success,deequ,None,33,31,1,3
41,info_8,success,success,deequ,column_skipped,30,28,0,2
42,info_8,success,success,gpt-4o,None,6,6,0,0
43,info_8,success,success,gpt-4o,with_deequ,12,12,0,0
44,info_8,success,success,gpt-4o,with_experience,12,12,0,0
45,info_9,success,success,deequ,None,33,31,1,3
46,info_9,success,success,deequ,column_skipped,30,28,0,2
47,info_9,success,success,gpt-4o,None,12,12,0,0
48,info_9,success,success,gpt-4o,with_deequ,14,14,0,0
49,info_9,success,success,gpt-4o,with_experience,25,25,0,0
