,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,bi_0,success,success,deequ,None,33,32,1,2
1,bi_0,success,success,deequ,column_skipped,30,29,0,1
2,bi_0,success,success,gpt-4o,None,7,6,0,1
3,bi_0,success,success,gpt-4o,with_deequ,7,6,0,1
4,bi_0,success,success,gpt-4o,with_experience,6,6,0,0
5,bi_1,success,success,deequ,None,33,32,1,2
6,bi_1,success,success,deequ,column_skipped,30,29,0,1
7,bi_1,success,success,gpt-4o,None,4,4,0,0
8,bi_1,success,success,gpt-4o,with_deequ,4,4,0,0
9,bi_1,success,success,gpt-4o,with_experience,4,4,0,0
10,bi_2,success,success,deequ,None,33,32,1,2
11,bi_2,success,success,deequ,column_skipped,30,29,0,1
12,bi_2,success,success,gpt-4o,None,4,4,0,0
13,bi_2,success,success,gpt-4o,with_deequ,4,4,0,0
14,bi_2,success,success,gpt-4o,with_experience,4,4,0,0
15,bi_3,success,success,deequ,None,33,32,1,2
16,bi_3,success,success,deequ,column_skipped,30,29,0,1
17,bi_3,success,success,gpt-4o,None,8,7,0,1
18,bi_3,success,success,gpt-4o,with_deequ,7,6,0,1
19,bi_3,success,success,gpt-4o,with_experience,4,4,0,0
20,bi_4,success,success,deequ,None,33,32,1,2
21,bi_4,success,success,deequ,column_skipped,30,29,0,1
22,bi_4,success,success,gpt-4o,None,2,2,0,0
23,bi_4,success,success,gpt-4o,with_deequ,4,4,0,0
24,bi_4,success,success,gpt-4o,with_experience,4,4,0,0
25,bi_5,success,success,deequ,None,33,32,1,2
26,bi_5,success,success,deequ,column_skipped,30,29,0,1
27,bi_5,success,success,gpt-4o,None,3,3,0,0
28,bi_5,success,success,gpt-4o,with_deequ,7,6,0,1
29,bi_5,success,success,gpt-4o,with_experience,5,5,0,0
30,bi_6,success,success,deequ,None,33,32,1,2
31,bi_6,success,success,deequ,column_skipped,30,29,0,1
32,bi_6,success,success,gpt-4o,None,11,10,0,1
33,bi_6,success,success,gpt-4o,with_deequ,15,14,0,1
34,bi_6,success,success,gpt-4o,with_experience,12,11,0,1
35,bi_7,success,success,deequ,None,33,32,1,2
36,bi_7,success,success,deequ,column_skipped,30,29,0,1
37,bi_7,success,success,gpt-4o,None,11,10,0,1
38,bi_7,success,success,gpt-4o,with_deequ,7,7,0,0
39,bi_7,success,success,gpt-4o,with_experience,9,9,0,0
40,bi_8,success,success,deequ,None,33,32,1,2
41,bi_8,success,success,deequ,column_skipped,30,29,0,1
42,bi_8,success,success,gpt-4o,None,6,6,0,0
43,bi_8,success,success,gpt-4o,with_deequ,6,6,0,0
44,bi_8,success,success,gpt-4o,with_experience,6,6,0,0
45,bi_9,success,success,deequ,None,33,32,1,2
46,bi_9,success,success,deequ,column_skipped,30,29,0,1
47,bi_9,success,success,gpt-4o,None,8,7,0,1
48,bi_9,success,success,gpt-4o,with_deequ,8,7,0,1
49,bi_9,success,success,gpt-4o,with_experience,12,11,0,1
50,dev_0,success,success,deequ,None,33,32,1,2
51,dev_0,success,success,deequ,column_skipped,30,29,0,1
52,dev_0,success,success,gpt-4o,None,4,4,0,0
53,dev_0,success,success,gpt-4o,with_deequ,7,7,0,0
54,dev_0,success,success,gpt-4o,with_experience,6,6,0,0
55,dev_1,success,success,deequ,None,33,32,1,2
56,dev_1,success,success,deequ,column_skipped,30,29,0,1
57,dev_1,success,success,gpt-4o,None,3,1,0,2
58,dev_1,success,success,gpt-4o,with_deequ,2,1,0,1
59,dev_1,success,success,gpt-4o,with_experience,2,1,0,1
60,dev_2,success,success,deequ,None,33,32,1,2
61,dev_2,success,success,deequ,column_skipped,30,29,0,1
62,dev_2,success,success,gpt-4o,None,7,7,0,0
63,dev_2,success,success,gpt-4o,with_deequ,6,6,0,0
64,dev_2,success,success,gpt-4o,with_experience,6,6,0,0
65,dev_3,success,success,deequ,None,33,32,1,2
66,dev_3,success,success,deequ,column_skipped,30,29,0,1
67,dev_3,success,success,gpt-4o,None,4,4,0,0
68,dev_3,success,success,gpt-4o,with_deequ,6,6,0,0
69,dev_3,success,success,gpt-4o,with_experience,7,7,0,0
70,dev_4,success,success,deequ,None,33,32,1,2
71,dev_4,success,success,deequ,column_skipped,30,29,0,1
72,dev_4,success,success,gpt-4o,None,4,4,0,0
73,dev_4,success,success,gpt-4o,with_deequ,6,6,0,0
74,dev_4,success,success,gpt-4o,with_experience,4,4,0,0
75,dev_5,success,success,deequ,None,33,32,1,2
76,dev_5,success,success,deequ,column_skipped,30,29,0,1
77,dev_5,success,success,gpt-4o,None,3,3,0,0
78,dev_5,success,success,gpt-4o,with_deequ,4,4,0,0
79,dev_5,success,success,gpt-4o,with_experience,6,6,0,0
80,dev_6,success,success,deequ,None,33,32,1,2
81,dev_6,success,success,deequ,column_skipped,30,29,0,1
82,dev_6,success,success,gpt-4o,None,3,2,0,1
83,dev_6,success,success,gpt-4o,with_deequ,3,2,0,1
84,dev_6,success,success,gpt-4o,with_experience,5,4,0,1
85,dev_7,success,success,deequ,None,33,32,1,2
86,dev_7,success,success,deequ,column_skipped,30,29,0,1
87,dev_7,success,success,gpt-4o,None,7,7,0,0
88,dev_7,success,success,gpt-4o,with_deequ,8,8,0,0
89,dev_7,success,success,gpt-4o,with_experience,7,7,0,0
90,dev_8,success,success,deequ,None,33,32,1,2
91,dev_8,success,success,deequ,column_skipped,30,29,0,1
92,dev_8,success,success,gpt-4o,None,8,8,0,0
93,dev_8,success,success,gpt-4o,with_deequ,7,7,0,0
94,dev_8,success,success,gpt-4o,with_experience,8,8,0,0
95,dev_9,success,success,deequ,None,33,32,1,2
96,dev_9,success,success,deequ,column_skipped,30,29,0,1
97,dev_9,success,success,gpt-4o,None,3,3,0,0
98,dev_9,success,success,gpt-4o,with_deequ,7,7,0,0
99,dev_9,success,success,gpt-4o,with_experience,7,7,0,0
100,feature_engineering_0,success,success,deequ,None,33,32,1,2
101,feature_engineering_0,success,success,deequ,column_skipped,30,29,0,1
102,feature_engineering_0,success,success,gpt-4o,None,3,3,0,0
103,feature_engineering_0,success,success,gpt-4o,with_deequ,5,5,0,0
104,feature_engineering_0,success,success,gpt-4o,with_experience,4,4,0,0
105,feature_engineering_1,success,success,deequ,None,33,32,1,2
106,feature_engineering_1,success,success,deequ,column_skipped,30,29,0,1
107,feature_engineering_1,success,success,gpt-4o,None,2,2,0,0
108,feature_engineering_1,success,success,gpt-4o,with_deequ,4,4,0,0
109,feature_engineering_1,success,success,gpt-4o,with_experience,4,4,0,0
110,feature_engineering_2,error,error,deequ,None,33,32,1,2
111,feature_engineering_2,error,error,deequ,column_skipped,30,29,0,1
112,feature_engineering_2,error,error,gpt-4o,None,4,4,0,0
113,feature_engineering_2,error,error,gpt-4o,with_deequ,3,3,0,0
114,feature_engineering_2,error,error,gpt-4o,with_experience,2,2,0,0
115,feature_engineering_3,success,success,deequ,None,33,32,1,2
