,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,bi_0,success,success,,,,,,
1,bi_1,success,success,,,,,,
2,bi_2,success,success,,,,,,
3,bi_3,success,success,,,,,,
4,bi_4,success,success,,,,,,
5,bi_5,success,success,,,,,,
6,bi_6,success,success,deequ,None,28.0,25.0,0.0,3.0
7,bi_6,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
8,bi_6,success,success,gpt-4o,None,4.0,4.0,0.0,0.0
9,bi_6,success,success,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
10,bi_6,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
11,bi_6,success,success,tfdv,None,,,0.0,0.0
12,bi_7,success,success,,,,,,
13,bi_8,success,success,,,,,,
14,bi_9,success,success,,,,,,
15,dev_0,success,success,deequ,None,28.0,25.0,0.0,3.0
16,dev_0,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
17,dev_0,success,success,gpt-4o,None,0.0,0.0,0.0,0.0
18,dev_0,success,success,gpt-4o,with_deequ,7.0,7.0,0.0,0.0
19,dev_0,success,success,gpt-4o,with_experience,3.0,3.0,0.0,0.0
20,dev_0,success,success,tfdv,None,,,0.0,0.0
21,dev_1,success,success,deequ,None,28.0,25.0,0.0,3.0
22,dev_1,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
23,dev_1,success,success,gpt-4o,None,2.0,2.0,0.0,0.0
24,dev_1,success,success,gpt-4o,with_deequ,1.0,1.0,0.0,0.0
25,dev_1,success,success,gpt-4o,with_experience,2.0,2.0,0.0,0.0
26,dev_1,success,success,tfdv,None,,,0.0,0.0
27,dev_2,success,success,,,,,,
28,dev_3,success,success,,,,,,
29,dev_4,success,success,,,,,,
30,dev_5,success,success,,,,,,
31,dev_6,success,success,deequ,None,28.0,25.0,0.0,3.0
32,dev_6,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
33,dev_6,success,success,gpt-4o,None,7.0,7.0,0.0,0.0
34,dev_6,success,success,gpt-4o,with_deequ,11.0,11.0,0.0,0.0
35,dev_6,success,success,gpt-4o,with_experience,11.0,11.0,0.0,0.0
36,dev_6,success,success,tfdv,None,,,0.0,0.0
37,dev_7,success,success,deequ,None,28.0,25.0,0.0,3.0
38,dev_7,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
39,dev_7,success,success,gpt-4o,None,2.0,2.0,0.0,0.0
40,dev_7,success,success,gpt-4o,with_deequ,2.0,2.0,0.0,0.0
41,dev_7,success,success,gpt-4o,with_experience,1.0,1.0,0.0,0.0
42,dev_7,success,success,tfdv,None,,,0.0,0.0
43,dev_8,success,success,deequ,None,28.0,25.0,0.0,3.0
44,dev_8,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
45,dev_8,success,success,gpt-4o,None,6.0,6.0,0.0,0.0
46,dev_8,success,success,gpt-4o,with_deequ,6.0,6.0,0.0,0.0
47,dev_8,success,success,gpt-4o,with_experience,7.0,7.0,0.0,0.0
48,dev_8,success,success,tfdv,None,,,0.0,0.0
49,dev_9,success,success,deequ,None,28.0,25.0,0.0,3.0
50,dev_9,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
51,dev_9,success,success,gpt-4o,None,6.0,6.0,0.0,0.0
52,dev_9,success,success,gpt-4o,with_deequ,10.0,9.0,0.0,1.0
53,dev_9,success,success,gpt-4o,with_experience,9.0,8.0,0.0,1.0
54,dev_9,success,success,tfdv,None,,,0.0,0.0
55,feature_engineering_0,success,success,,,,,,
56,feature_engineering_1,success,success,,,,,,
57,feature_engineering_2,success,success,deequ,None,28.0,25.0,0.0,3.0
58,feature_engineering_2,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
59,feature_engineering_2,success,success,gpt-4o,None,11.0,10.0,0.0,1.0
60,feature_engineering_2,success,success,gpt-4o,with_deequ,9.0,8.0,0.0,1.0
61,feature_engineering_2,success,success,gpt-4o,with_experience,3.0,3.0,0.0,0.0
62,feature_engineering_2,success,success,tfdv,None,,,0.0,0.0
63,feature_engineering_3,success,success,deequ,None,28.0,25.0,0.0,3.0
64,feature_engineering_3,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
65,feature_engineering_3,success,success,gpt-4o,None,1.0,1.0,0.0,0.0
66,feature_engineering_3,success,success,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
67,feature_engineering_3,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
68,feature_engineering_3,success,success,tfdv,None,,,0.0,0.0
69,feature_engineering_4,success,success,deequ,None,28.0,25.0,0.0,3.0
70,feature_engineering_4,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
71,feature_engineering_4,success,success,gpt-4o,None,7.0,7.0,0.0,0.0
72,feature_engineering_4,success,success,gpt-4o,with_deequ,8.0,8.0,0.0,0.0
73,feature_engineering_4,success,success,gpt-4o,with_experience,9.0,9.0,0.0,0.0
74,feature_engineering_4,success,success,tfdv,None,,,0.0,0.0
75,feature_engineering_5,success,success,deequ,None,28.0,25.0,0.0,3.0
76,feature_engineering_5,success,success,deequ,column_skipped,24.0,23.0,0.0,1.0
77,feature_engineering_5,success,success,gpt-4o,None,7.0,7.0,0.0,0.0
78,feature_engineering_5,success,success,gpt-4o,with_deequ,8.0,8.0,0.0,0.0
79,feature_engineering_5,success,success,gpt-4o,with_experience,7.0,7.0,0.0,0.0
80,feature_engineering_5,success,success,tfdv,None,,,0.0,0.0
81,feature_engineering_6,success,success,,,,,,
82,feature_engineering_7,success,success,,,,,,
83,feature_engineering_8,success,success,,,,,,
84,feature_engineering_9,success,success,,,,,,
