,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,classification_0,0.6954051962322305,error,deequ,None,30,27,1,4
1,classification_0,0.6954051962322305,error,deequ,column_skipped,27,24,0,3
2,classification_0,0.6954051962322305,error,gpt-4.5-preview,None,13,12,0,1
3,classification_0,0.6954051962322305,error,gpt-4.5-preview,with_deequ,13,12,0,1
4,classification_0,0.6954051962322305,error,gpt-4.5-preview,with_experience,13,12,0,1
5,classification_0,0.6954051962322305,error,gpt-4o,None,6,5,0,1
6,classification_0,0.6954051962322305,error,gpt-4o,with_deequ,10,9,0,1
7,classification_0,0.6954051962322305,error,gpt-4o,with_experience,10,9,0,1
8,classification_1,0.8335360139296176,error,deequ,None,30,27,1,4
9,classification_1,0.8335360139296176,error,deequ,column_skipped,27,24,0,3
10,classification_1,0.8335360139296176,error,gpt-4.5-preview,None,25,23,1,3
11,classification_1,0.8335360139296176,error,gpt-4.5-preview,with_deequ,23,21,0,2
12,classification_1,0.8335360139296176,error,gpt-4.5-preview,with_experience,24,22,1,3
13,classification_1,0.8335360139296176,error,gpt-4o,None,12,10,0,2
14,classification_1,0.8335360139296176,error,gpt-4o,with_deequ,26,24,1,3
15,classification_1,0.8335360139296176,error,gpt-4o,with_experience,31,28,0,3
16,classification_2,0.5,0.5,deequ,None,30,27,1,4
17,classification_2,0.5,0.5,deequ,column_skipped,27,24,0,3
18,classification_2,0.5,0.5,gpt-4.5-preview,None,24,22,2,4
19,classification_2,0.5,0.5,gpt-4.5-preview,with_deequ,24,22,2,4
20,classification_2,0.5,0.5,gpt-4.5-preview,with_experience,23,21,1,3
21,classification_2,0.5,0.5,gpt-4o,None,11,9,0,2
22,classification_2,0.5,0.5,gpt-4o,with_deequ,11,9,0,2
23,classification_2,0.5,0.5,gpt-4o,with_experience,24,22,0,2
24,classification_3,0.5,0.5,deequ,None,30,27,1,4
25,classification_3,0.5,0.5,deequ,column_skipped,27,24,0,3
26,classification_3,0.5,0.5,gpt-4.5-preview,None,19,17,0,2
27,classification_3,0.5,0.5,gpt-4.5-preview,with_deequ,21,19,1,3
28,classification_3,0.5,0.5,gpt-4.5-preview,with_experience,24,22,2,4
29,classification_3,0.5,0.5,gpt-4o,None,15,14,1,2
30,classification_3,0.5,0.5,gpt-4o,with_deequ,14,12,0,2
31,classification_3,0.5,0.5,gpt-4o,with_experience,26,24,1,3
32,classification_4,0.8367128447716026,error,deequ,None,30,27,1,4
33,classification_4,0.8367128447716026,error,deequ,column_skipped,27,24,0,3
34,classification_4,0.8367128447716026,error,gpt-4.5-preview,None,23,21,1,3
35,classification_4,0.8367128447716026,error,gpt-4.5-preview,with_deequ,29,26,1,4
36,classification_4,0.8367128447716026,error,gpt-4.5-preview,with_experience,23,21,1,3
37,classification_4,0.8367128447716026,error,gpt-4o,None,22,20,0,2
38,classification_4,0.8367128447716026,error,gpt-4o,with_deequ,25,23,0,2
39,classification_4,0.8367128447716026,error,gpt-4o,with_experience,22,20,0,2
40,classification_5,0.8176602283537058,0.8186351610579143,deequ,None,30,27,1,4
41,classification_5,0.8176602283537058,0.8186351610579143,deequ,column_skipped,27,24,0,3
42,classification_5,0.8176602283537058,0.8186351610579143,gpt-4.5-preview,None,25,24,0,1
43,classification_5,0.8176602283537058,0.8186351610579143,gpt-4.5-preview,with_deequ,27,26,1,2
44,classification_5,0.8176602283537058,0.8186351610579143,gpt-4.5-preview,with_experience,23,22,1,2
45,classification_5,0.8176602283537058,0.8186351610579143,gpt-4o,None,12,11,2,3
46,classification_5,0.8176602283537058,0.8186351610579143,gpt-4o,with_deequ,22,21,1,2
47,classification_5,0.8176602283537058,0.8186351610579143,gpt-4o,with_experience,18,16,0,2
48,classification_6,0.8002676015465974,error,deequ,None,30,27,1,4
49,classification_6,0.8002676015465974,error,deequ,column_skipped,27,24,0,3
50,classification_6,0.8002676015465974,error,gpt-4.5-preview,None,18,17,1,2
51,classification_6,0.8002676015465974,error,gpt-4.5-preview,with_deequ,18,17,0,1
52,classification_6,0.8002676015465974,error,gpt-4.5-preview,with_experience,19,18,1,2
53,classification_6,0.8002676015465974,error,gpt-4o,None,12,11,0,1
54,classification_6,0.8002676015465974,error,gpt-4o,with_deequ,18,17,2,3
55,classification_6,0.8002676015465974,error,gpt-4o,with_experience,16,15,0,1
56,classification_7,0.5689895450760549,error,deequ,None,30,27,1,4
57,classification_7,0.5689895450760549,error,deequ,column_skipped,27,24,0,3
58,classification_7,0.5689895450760549,error,gpt-4.5-preview,None,11,10,0,1
59,classification_7,0.5689895450760549,error,gpt-4.5-preview,with_deequ,13,12,0,1
60,classification_7,0.5689895450760549,error,gpt-4.5-preview,with_experience,14,13,0,1
61,classification_7,0.5689895450760549,error,gpt-4o,None,11,10,0,1
62,classification_7,0.5689895450760549,error,gpt-4o,with_deequ,11,10,2,3
63,classification_7,0.5689895450760549,error,gpt-4o,with_experience,10,9,1,2
64,classification_8,0.7970949550216186,error,deequ,None,30,27,1,4
65,classification_8,0.7970949550216186,error,deequ,column_skipped,27,24,0,3
66,classification_8,0.7970949550216186,error,gpt-4.5-preview,None,16,15,0,1
67,classification_8,0.7970949550216186,error,gpt-4.5-preview,with_deequ,21,20,0,1
68,classification_8,0.7970949550216186,error,gpt-4o,None,8,7,0,1
69,classification_8,0.7970949550216186,error,gpt-4o,with_deequ,18,17,0,1
70,classification_8,0.7970949550216186,error,gpt-4o,with_experience,14,13,0,1
71,classification_9,0.6981811747683158,error,deequ,None,30,27,1,4
72,classification_9,0.6981811747683158,error,deequ,column_skipped,27,24,0,3
73,classification_9,0.6981811747683158,error,gpt-4.5-preview,None,10,9,0,1
74,classification_9,0.6981811747683158,error,gpt-4.5-preview,with_deequ,12,11,0,1
75,classification_9,0.6981811747683158,error,gpt-4o,None,5,4,0,1
76,classification_9,0.6981811747683158,error,gpt-4o,with_deequ,12,11,0,1
77,classification_9,0.6981811747683158,error,gpt-4o,with_experience,10,9,0,1
78,regression_0,,,deequ,None,30,27,1,4
79,regression_0,,,deequ,column_skipped,27,24,0,3
80,regression_0,,,gpt-4o,None,7,6,0,1
81,regression_0,,,gpt-4o,with_deequ,17,16,0,1
82,regression_0,,,gpt-4o,with_experience,12,11,0,1
83,regression_1,,,deequ,None,30,27,1,4
84,regression_1,,,deequ,column_skipped,27,24,0,3
85,regression_1,,,gpt-4o,None,12,10,0,2
86,regression_1,,,gpt-4o,with_deequ,10,8,1,3
87,regression_1,,,gpt-4o,with_experience,23,21,1,3
88,regression_2,,,deequ,None,30,27,1,4
89,regression_2,,,deequ,column_skipped,27,24,0,3
90,regression_2,,,gpt-4o,None,10,10,1,1
91,regression_2,,,gpt-4o,with_deequ,22,20,3,5
92,regression_2,,,gpt-4o,with_experience,19,18,2,3
93,regression_3,,,deequ,None,30,27,1,4
94,regression_3,,,deequ,column_skipped,27,24,0,3
95,regression_3,,,gpt-4o,None,5,4,0,1
96,regression_3,,,gpt-4o,with_deequ,14,13,0,1
97,regression_3,,,gpt-4o,with_experience,10,9,0,1
98,regression_4,,,deequ,None,30,27,1,4
99,regression_4,,,deequ,column_skipped,27,24,0,3
100,regression_4,,,gpt-4o,None,6,5,0,1
101,regression_4,,,gpt-4o,with_deequ,13,12,0,1
102,regression_4,,,gpt-4o,with_experience,12,11,0,1
