,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,regression_0,856960528.4256095,856956502.5568599,deequ,None,27,25,0,2
1,regression_0,856960528.4256095,856956502.5568599,deequ,column_skipped,27,25,0,2
2,regression_0,856960528.4256095,856956502.5568599,gpt-4o,None,6,6,0,0
3,regression_0,856960528.4256095,856956502.5568599,gpt-4o,with_deequ,4,4,0,0
4,regression_0,856960528.4256095,856956502.5568599,gpt-4o,with_experience,5,5,0,0
5,regression_1,817023054.5747939,798220031.930599,deequ,None,27,25,0,2
6,regression_1,817023054.5747939,798220031.930599,deequ,column_skipped,27,25,0,2
7,regression_1,817023054.5747939,798220031.930599,gpt-4o,None,4,4,1,1
8,regression_1,817023054.5747939,798220031.930599,gpt-4o,with_deequ,14,14,0,0
9,regression_1,817023054.5747939,798220031.930599,gpt-4o,with_experience,18,18,0,0
10,regression_2,650123256.6847153,641738751.9232074,deequ,None,27,25,0,2
11,regression_2,650123256.6847153,641738751.9232074,deequ,column_skipped,27,25,0,2
12,regression_2,650123256.6847153,641738751.9232074,gpt-4o,None,5,5,1,1
13,regression_2,650123256.6847153,641738751.9232074,gpt-4o,with_deequ,3,3,0,0
14,regression_2,650123256.6847153,641738751.9232074,gpt-4o,with_experience,2,2,0,0
15,regression_3,208118318.6509504,208035252.44985944,deequ,None,27,25,0,2
16,regression_3,208118318.6509504,208035252.44985944,deequ,column_skipped,27,25,0,2
17,regression_3,208118318.6509504,208035252.44985944,gpt-4o,None,2,2,0,0
18,regression_3,208118318.6509504,208035252.44985944,gpt-4o,with_deequ,19,19,1,1
19,regression_3,208118318.6509504,208035252.44985944,gpt-4o,with_experience,17,17,0,0
20,regression_4,856937535.46425,856703774.4584886,deequ,None,27,25,0,2
21,regression_4,856937535.46425,856703774.4584886,deequ,column_skipped,27,25,0,2
22,regression_4,856937535.46425,856703774.4584886,gpt-4o,None,2,2,0,0
23,regression_4,856937535.46425,856703774.4584886,gpt-4o,with_deequ,11,11,0,0
24,regression_4,856937535.46425,856703774.4584886,gpt-4o,with_experience,2,2,0,0
