,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,classification_0,0.5637458218317706,0.5645510646104877,deequ,None,26.0,24.0,0.0,2.0
1,classification_0,0.5637458218317706,0.5645510646104877,deequ,column_skipped,22.0,20.0,0.0,2.0
2,classification_0,0.5637458218317706,0.5645510646104877,gpt-4o,None,11.0,10.0,0.0,1.0
3,classification_0,0.5637458218317706,0.5645510646104877,gpt-4o,with_deequ,23.0,21.0,2.0,4.0
4,classification_0,0.5637458218317706,0.5645510646104877,gpt-4o,with_experience,24.0,22.0,0.0,2.0
5,classification_0,0.5637458218317706,0.5645510646104877,tfdv,None,,,1.0,3.0
6,classification_1,error,error,deequ,None,26.0,24.0,0.0,2.0
7,classification_1,error,error,deequ,column_skipped,22.0,20.0,0.0,2.0
8,classification_1,error,error,gpt-4.5-preview,None,7.0,7.0,0.0,0.0
9,classification_1,error,error,gpt-4.5-preview,with_deequ,15.0,14.0,0.0,1.0
10,classification_1,error,error,gpt-4.5-preview,with_experience,11.0,11.0,0.0,0.0
11,classification_1,error,error,gpt-4o,None,3.0,3.0,0.0,0.0
12,classification_1,error,error,gpt-4o,with_deequ,7.0,7.0,1.0,1.0
13,classification_1,error,error,gpt-4o,with_experience,13.0,12.0,2.0,3.0
14,classification_1,error,error,tfdv,None,,,1.0,3.0
15,classification_2,0.5435301409407572,0.5421291103520381,deequ,None,26.0,24.0,0.0,2.0
16,classification_2,0.5435301409407572,0.5421291103520381,deequ,column_skipped,22.0,20.0,0.0,2.0
17,classification_2,0.5435301409407572,0.5421291103520381,gpt-4o,None,11.0,9.0,0.0,2.0
18,classification_2,0.5435301409407572,0.5421291103520381,gpt-4o,with_deequ,8.0,7.0,2.0,3.0
19,classification_2,0.5435301409407572,0.5421291103520381,gpt-4o,with_experience,16.0,15.0,2.0,3.0
