,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,classification_0,0.5637458218317706,0.5623627992931993,deequ,None,26,24,0,2
1,classification_0,0.5637458218317706,0.5623627992931993,deequ,column_skipped,22,22,0,0
2,classification_0,0.5637458218317706,0.5623627992931993,gpt-4o,None,11,11,0,0
3,classification_0,0.5637458218317706,0.5623627992931993,gpt-4o,with_deequ,23,23,2,2
4,classification_0,0.5637458218317706,0.5623627992931993,gpt-4o,with_experience,24,24,0,0
5,classification_1,error,error,deequ,None,26,24,0,2
6,classification_1,error,error,deequ,column_skipped,22,22,0,0
7,classification_1,error,error,gpt-4.5-preview,None,7,7,0,0
8,classification_1,error,error,gpt-4.5-preview,with_deequ,15,14,0,1
9,classification_1,error,error,gpt-4.5-preview,with_experience,11,10,0,1
10,classification_1,error,error,gpt-4o,None,3,3,0,0
11,classification_1,error,error,gpt-4o,with_deequ,7,7,1,1
12,classification_1,error,error,gpt-4o,with_experience,13,13,2,2
13,classification_2,0.5439399638724461,0.5335451765217618,deequ,None,26,24,0,2
14,classification_2,0.5439399638724461,0.5335451765217618,deequ,column_skipped,22,22,0,0
15,classification_2,0.5439399638724461,0.5335451765217618,gpt-4o,None,11,11,0,0
16,classification_2,0.5439399638724461,0.5335451765217618,gpt-4o,with_deequ,8,8,2,2
17,classification_2,0.5439399638724461,0.5335451765217618,gpt-4o,with_experience,16,15,2,3
18,classification_3,0.5,0.5,deequ,None,26,24,0,2
19,classification_3,0.5,0.5,deequ,column_skipped,22,22,0,0
20,classification_3,0.5,0.5,gpt-4o,None,3,3,1,1
21,classification_3,0.5,0.5,gpt-4o,with_deequ,10,10,2,2
22,classification_3,0.5,0.5,gpt-4o,with_experience,9,9,0,0
23,classification_4,0.496408284780665,0.49705076061456693,deequ,None,26,24,0,2
24,classification_4,0.496408284780665,0.49705076061456693,deequ,column_skipped,22,22,0,0
25,classification_4,0.496408284780665,0.49705076061456693,gpt-4o,None,8,8,1,1
26,classification_4,0.496408284780665,0.49705076061456693,gpt-4o,with_deequ,11,11,2,2
27,classification_4,0.496408284780665,0.49705076061456693,gpt-4o,with_experience,11,11,0,0
28,classification_5,0.49607838130096743,0.4987558253327456,deequ,None,26,24,0,2
29,classification_5,0.49607838130096743,0.4987558253327456,deequ,column_skipped,22,22,0,0
30,classification_5,0.49607838130096743,0.4987558253327456,gpt-4o,None,9,9,1,1
31,classification_5,0.49607838130096743,0.4987558253327456,gpt-4o,with_deequ,11,11,2,2
32,classification_5,0.49607838130096743,0.4987558253327456,gpt-4o,with_experience,12,11,0,1
33,classification_6,0.5084640382355176,0.5019568916751486,deequ,None,26,24,0,2
34,classification_6,0.5084640382355176,0.5019568916751486,deequ,column_skipped,22,22,0,0
35,classification_6,0.5084640382355176,0.5019568916751486,gpt-4o,None,3,3,0,0
36,classification_6,0.5084640382355176,0.5019568916751486,gpt-4o,with_deequ,7,7,0,0
37,classification_6,0.5084640382355176,0.5019568916751486,gpt-4o,with_experience,8,8,0,0
38,classification_7,0.5058606831191329,0.49940868641563707,deequ,None,26,24,0,2
39,classification_7,0.5058606831191329,0.49940868641563707,deequ,column_skipped,22,22,0,0
40,classification_7,0.5058606831191329,0.49940868641563707,gpt-4o,None,6,6,0,0
41,classification_7,0.5058606831191329,0.49940868641563707,gpt-4o,with_deequ,7,7,0,0
42,classification_7,0.5058606831191329,0.49940868641563707,gpt-4o,with_experience,4,4,0,0
43,classification_8,0.5000671288020933,0.5,deequ,None,26,24,0,2
44,classification_8,0.5000671288020933,0.5,deequ,column_skipped,22,22,0,0
45,classification_8,0.5000671288020933,0.5,gpt-4o,None,4,4,2,2
46,classification_8,0.5000671288020933,0.5,gpt-4o,with_deequ,5,5,2,2
47,classification_8,0.5000671288020933,0.5,gpt-4o,with_experience,10,10,2,2
48,classification_9,0.5,0.5,deequ,None,26,24,0,2
49,classification_9,0.5,0.5,deequ,column_skipped,22,22,0,0
50,classification_9,0.5,0.5,gpt-4o,None,3,3,0,0
51,classification_9,0.5,0.5,gpt-4o,with_deequ,9,9,0,0
52,classification_9,0.5,0.5,gpt-4o,with_experience,5,5,0,0
