,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,bi_0,success,success,deequ,None,33.0,33.0,1.0,1.0
1,bi_0,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
2,bi_0,success,success,gpt-4o,None,7.0,7.0,0.0,0.0
3,bi_0,success,success,gpt-4o,with_deequ,7.0,7.0,0.0,0.0
4,bi_0,success,success,gpt-4o,with_experience,6.0,6.0,0.0,0.0
5,bi_0,success,success,tfdv,None,,,0.0,1.0
6,bi_1,success,success,deequ,None,33.0,33.0,1.0,1.0
7,bi_1,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
8,bi_1,success,success,gpt-4o,None,4.0,4.0,0.0,0.0
9,bi_1,success,success,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
10,bi_1,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
11,bi_1,success,success,tfdv,None,,,0.0,1.0
12,bi_2,success,success,deequ,None,33.0,33.0,1.0,1.0
13,bi_2,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
14,bi_2,success,success,gpt-4o,None,4.0,4.0,0.0,0.0
15,bi_2,success,success,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
16,bi_2,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
17,bi_2,success,success,tfdv,None,,,0.0,1.0
18,bi_3,success,success,deequ,None,33.0,33.0,1.0,1.0
19,bi_3,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
20,bi_3,success,success,gpt-4o,None,8.0,8.0,0.0,0.0
21,bi_3,success,success,gpt-4o,with_deequ,7.0,7.0,0.0,0.0
22,bi_3,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
23,bi_3,success,success,tfdv,None,,,0.0,1.0
24,bi_4,success,success,deequ,None,33.0,33.0,1.0,1.0
25,bi_4,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
26,bi_4,success,success,gpt-4o,None,2.0,2.0,0.0,0.0
27,bi_4,success,success,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
28,bi_4,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
29,bi_4,success,success,tfdv,None,,,0.0,1.0
30,bi_5,success,success,deequ,None,33.0,33.0,1.0,1.0
31,bi_5,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
32,bi_5,success,success,gpt-4o,None,3.0,3.0,0.0,0.0
33,bi_5,success,success,gpt-4o,with_deequ,7.0,7.0,0.0,0.0
34,bi_5,success,success,gpt-4o,with_experience,5.0,5.0,0.0,0.0
35,bi_5,success,success,tfdv,None,,,0.0,1.0
36,bi_6,success,success,deequ,None,33.0,33.0,1.0,1.0
37,bi_6,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
38,bi_6,success,success,gpt-4o,None,11.0,11.0,0.0,0.0
39,bi_6,success,success,gpt-4o,with_deequ,15.0,15.0,0.0,0.0
40,bi_6,success,success,gpt-4o,with_experience,12.0,12.0,0.0,0.0
41,bi_6,success,success,tfdv,None,,,0.0,1.0
42,bi_7,success,success,deequ,None,33.0,33.0,1.0,1.0
43,bi_7,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
44,bi_7,success,success,gpt-4o,None,11.0,11.0,0.0,0.0
45,bi_7,success,success,gpt-4o,with_deequ,7.0,7.0,0.0,0.0
46,bi_7,success,success,gpt-4o,with_experience,9.0,9.0,0.0,0.0
47,bi_7,success,success,tfdv,None,,,0.0,1.0
48,bi_8,success,success,deequ,None,33.0,33.0,1.0,1.0
49,bi_8,success,success,deequ,column_skipped,30.0,30.0,0.0,0.0
50,bi_8,success,success,gpt-4o,None,6.0,6.0,0.0,0.0
51,bi_8,success,success,gpt-4o,with_deequ,6.0,6.0,0.0,0.0
52,bi_8,success,success,gpt-4o,with_experience,6.0,6.0,0.0,0.0
53,bi_8,success,success,tfdv,None,,,0.0,1.0
54,bi_9,success,success,deequ,None,33.0,33.0,1.0,1.0
