,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,bi_0,success,success,deequ,None,28.0,26.0,0.0,2.0
1,bi_0,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
2,bi_0,success,success,gpt-4o,None,5.0,5.0,0.0,0.0
3,bi_0,success,success,gpt-4o,with_deequ,9.0,9.0,0.0,0.0
4,bi_0,success,success,gpt-4o,with_experience,8.0,8.0,0.0,0.0
5,bi_1,success,success,deequ,None,28.0,26.0,0.0,2.0
6,bi_1,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
7,bi_1,success,success,gpt-4o,None,9.0,9.0,0.0,0.0
8,bi_1,success,success,gpt-4o,with_deequ,18.0,18.0,0.0,0.0
9,bi_1,success,success,gpt-4o,with_experience,18.0,18.0,0.0,0.0
10,bi_2,success,success,,,,,,
11,bi_3,success,success,,,,,,
12,bi_4,success,success,,,,,,
13,bi_5,success,success,,,,,,
14,bi_6,success,success,deequ,None,28.0,26.0,0.0,2.0
15,bi_6,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
16,bi_6,success,success,gpt-4o,None,4.0,4.0,0.0,0.0
17,bi_6,success,success,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
18,bi_6,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
19,bi_7,success,success,deequ,None,28.0,26.0,0.0,2.0
20,bi_7,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
21,bi_7,success,success,gpt-4o,None,3.0,3.0,0.0,0.0
22,bi_7,success,success,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
23,bi_7,success,success,gpt-4o,with_experience,3.0,3.0,1.0,1.0
24,bi_8,success,success,deequ,None,28.0,26.0,0.0,2.0
25,bi_8,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
26,bi_8,success,success,gpt-4o,None,1.0,1.0,0.0,0.0
27,bi_8,success,success,gpt-4o,with_deequ,3.0,3.0,0.0,0.0
28,bi_8,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
29,bi_9,success,success,deequ,None,28.0,26.0,0.0,2.0
30,bi_9,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
31,bi_9,success,success,gpt-4o,None,6.0,6.0,0.0,0.0
32,bi_9,success,success,gpt-4o,with_deequ,6.0,6.0,0.0,0.0
33,bi_9,success,success,gpt-4o,with_experience,6.0,6.0,0.0,0.0
34,dev_0,success,success,deequ,None,28.0,26.0,0.0,2.0
35,dev_0,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
36,dev_0,success,success,gpt-4o,None,0.0,0.0,0.0,0.0
37,dev_0,success,success,gpt-4o,with_deequ,7.0,7.0,0.0,0.0
38,dev_0,success,success,gpt-4o,with_experience,3.0,3.0,0.0,0.0
39,dev_1,success,success,deequ,None,28.0,26.0,0.0,2.0
40,dev_1,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
41,dev_1,success,success,gpt-4o,None,2.0,2.0,0.0,0.0
42,dev_1,success,success,gpt-4o,with_deequ,1.0,1.0,0.0,0.0
43,dev_1,success,success,gpt-4o,with_experience,2.0,2.0,0.0,0.0
44,dev_2,success,success,,,,,,
45,dev_3,success,success,,,,,,
46,dev_4,success,success,,,,,,
47,dev_5,success,success,,,,,,
48,dev_6,success,success,deequ,None,28.0,26.0,0.0,2.0
49,dev_6,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
50,dev_6,success,success,gpt-4o,None,7.0,7.0,0.0,0.0
51,dev_6,success,success,gpt-4o,with_deequ,11.0,11.0,0.0,0.0
52,dev_6,success,success,gpt-4o,with_experience,11.0,11.0,0.0,0.0
53,dev_7,success,success,deequ,None,28.0,26.0,0.0,2.0
54,dev_7,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
55,dev_7,success,success,gpt-4o,None,2.0,2.0,0.0,0.0
56,dev_7,success,success,gpt-4o,with_deequ,2.0,2.0,0.0,0.0
57,dev_7,success,success,gpt-4o,with_experience,1.0,1.0,0.0,0.0
58,dev_8,success,success,deequ,None,28.0,26.0,0.0,2.0
59,dev_8,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
60,dev_8,success,success,gpt-4o,None,6.0,6.0,0.0,0.0
61,dev_8,success,success,gpt-4o,with_deequ,6.0,6.0,0.0,0.0
62,dev_8,success,success,gpt-4o,with_experience,7.0,7.0,0.0,0.0
63,dev_9,success,success,deequ,None,28.0,26.0,0.0,2.0
64,dev_9,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
65,dev_9,success,success,gpt-4o,None,6.0,6.0,0.0,0.0
66,dev_9,success,success,gpt-4o,with_deequ,10.0,9.0,0.0,1.0
67,dev_9,success,success,gpt-4o,with_experience,9.0,8.0,0.0,1.0
68,feature_engineering_0,success,success,,,,,,
69,feature_engineering_1,success,success,deequ,None,28.0,26.0,0.0,2.0
70,feature_engineering_1,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
71,feature_engineering_1,success,success,gpt-4o,None,1.0,0.0,0.0,1.0
72,feature_engineering_2,success,success,deequ,None,28.0,26.0,0.0,2.0
73,feature_engineering_2,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
74,feature_engineering_2,success,success,gpt-4o,None,11.0,10.0,0.0,1.0
75,feature_engineering_2,success,success,gpt-4o,with_deequ,9.0,8.0,0.0,1.0
76,feature_engineering_2,success,success,gpt-4o,with_experience,3.0,3.0,0.0,0.0
77,feature_engineering_3,success,success,deequ,None,28.0,26.0,0.0,2.0
78,feature_engineering_3,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
79,feature_engineering_3,success,success,gpt-4o,None,1.0,1.0,0.0,0.0
80,feature_engineering_3,success,success,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
81,feature_engineering_3,success,success,gpt-4o,with_experience,4.0,4.0,0.0,0.0
82,feature_engineering_4,success,success,deequ,None,28.0,26.0,0.0,2.0
83,feature_engineering_4,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
84,feature_engineering_4,success,success,gpt-4o,None,7.0,7.0,0.0,0.0
85,feature_engineering_4,success,success,gpt-4o,with_deequ,8.0,8.0,0.0,0.0
86,feature_engineering_4,success,success,gpt-4o,with_experience,9.0,9.0,0.0,0.0
87,feature_engineering_5,success,success,deequ,None,28.0,26.0,0.0,2.0
88,feature_engineering_5,success,success,deequ,column_skipped,28.0,26.0,0.0,2.0
89,feature_engineering_5,success,success,gpt-4o,None,7.0,7.0,0.0,0.0
90,feature_engineering_5,success,success,gpt-4o,with_deequ,8.0,8.0,0.0,0.0
91,feature_engineering_5,success,success,gpt-4o,with_experience,7.0,7.0,0.0,0.0
92,feature_engineering_6,success,success,,,,,,
93,feature_engineering_7,success,success,,,,,,
94,feature_engineering_8,success,success,,,,,,
95,feature_engineering_9,success,success,,,,,,
