,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,classification_0,0.6954051962322305,error,deequ,None,30.0,28.0,1.0,3.0
1,classification_0,0.6954051962322305,error,deequ,column_skipped,27.0,25.0,0.0,2.0
2,classification_0,0.6954051962322305,error,gpt-4.5-preview,None,13.0,12.0,0.0,1.0
3,classification_0,0.6954051962322305,error,gpt-4.5-preview,with_deequ,13.0,12.0,0.0,1.0
4,classification_0,0.6954051962322305,error,gpt-4.5-preview,with_experience,13.0,12.0,0.0,1.0
5,classification_0,0.6954051962322305,error,gpt-4o,None,6.0,5.0,0.0,1.0
6,classification_0,0.6954051962322305,error,gpt-4o,with_deequ,10.0,9.0,0.0,1.0
7,classification_0,0.6954051962322305,error,gpt-4o,with_experience,10.0,9.0,0.0,1.0
8,classification_0,0.6954051962322305,error,tfdv,None,,,1.0,2.0
9,classification_1,0.8207507938425695,error,deequ,None,30.0,28.0,1.0,3.0
10,classification_1,0.8207507938425695,error,deequ,column_skipped,27.0,25.0,0.0,2.0
11,classification_1,0.8207507938425695,error,gpt-4.5-preview,None,25.0,24.0,1.0,2.0
12,classification_1,0.8207507938425695,error,gpt-4.5-preview,with_deequ,23.0,22.0,0.0,1.0
13,classification_1,0.8207507938425695,error,gpt-4.5-preview,with_experience,24.0,23.0,1.0,2.0
14,classification_1,0.8207507938425695,error,gpt-4o,None,12.0,11.0,0.0,1.0
15,classification_1,0.8207507938425695,error,gpt-4o,with_deequ,26.0,25.0,1.0,2.0
16,classification_1,0.8207507938425695,error,gpt-4o,with_experience,31.0,30.0,0.0,1.0
17,classification_1,0.8207507938425695,error,tfdv,None,,,1.0,2.0
18,classification_2,0.5,0.5,deequ,None,30.0,28.0,1.0,3.0
19,classification_2,0.5,0.5,deequ,column_skipped,27.0,25.0,0.0,2.0
20,classification_2,0.5,0.5,gpt-4.5-preview,None,24.0,23.0,2.0,3.0
21,classification_2,0.5,0.5,gpt-4.5-preview,with_deequ,24.0,23.0,2.0,3.0
22,classification_2,0.5,0.5,gpt-4.5-preview,with_experience,23.0,22.0,1.0,2.0
23,classification_2,0.5,0.5,gpt-4o,None,11.0,10.0,0.0,1.0
24,classification_2,0.5,0.5,gpt-4o,with_deequ,11.0,10.0,0.0,1.0
25,classification_2,0.5,0.5,gpt-4o,with_experience,24.0,23.0,0.0,1.0
26,classification_2,0.5,0.5,tfdv,None,,,1.0,2.0
27,classification_3,0.5,0.5,deequ,None,30.0,28.0,1.0,3.0
28,classification_3,0.5,0.5,deequ,column_skipped,27.0,25.0,0.0,2.0
29,classification_3,0.5,0.5,gpt-4.5-preview,None,19.0,18.0,0.0,1.0
30,classification_3,0.5,0.5,gpt-4.5-preview,with_deequ,21.0,20.0,1.0,2.0
31,classification_3,0.5,0.5,gpt-4.5-preview,with_experience,24.0,23.0,2.0,3.0
32,classification_3,0.5,0.5,gpt-4o,None,15.0,14.0,1.0,2.0
33,classification_3,0.5,0.5,gpt-4o,with_deequ,14.0,13.0,0.0,1.0
34,classification_3,0.5,0.5,gpt-4o,with_experience,26.0,25.0,1.0,2.0
35,classification_3,0.5,0.5,tfdv,None,,,1.0,2.0
36,classification_4,0.8397873703786094,error,deequ,None,30.0,28.0,1.0,3.0
37,classification_4,0.8397873703786094,error,deequ,column_skipped,27.0,25.0,0.0,2.0
38,classification_4,0.8397873703786094,error,gpt-4.5-preview,None,23.0,22.0,1.0,2.0
39,classification_4,0.8397873703786094,error,gpt-4.5-preview,with_deequ,29.0,28.0,1.0,2.0
40,classification_4,0.8397873703786094,error,gpt-4.5-preview,with_experience,23.0,22.0,1.0,2.0
41,classification_4,0.8397873703786094,error,gpt-4o,None,22.0,21.0,0.0,1.0
42,classification_4,0.8397873703786094,error,gpt-4o,with_deequ,25.0,24.0,0.0,1.0
43,classification_4,0.8397873703786094,error,gpt-4o,with_experience,22.0,21.0,0.0,1.0
44,classification_4,0.8397873703786094,error,tfdv,None,,,1.0,2.0
45,classification_5,0.8083427149317194,0.7996512832313389,deequ,None,30.0,28.0,1.0,3.0
46,classification_5,0.8083427149317194,0.7996512832313389,deequ,column_skipped,27.0,25.0,0.0,2.0
47,classification_5,0.8083427149317194,0.7996512832313389,gpt-4.5-preview,None,25.0,25.0,0.0,0.0
48,classification_5,0.8083427149317194,0.7996512832313389,gpt-4.5-preview,with_deequ,27.0,27.0,1.0,1.0
49,classification_5,0.8083427149317194,0.7996512832313389,gpt-4.5-preview,with_experience,23.0,23.0,1.0,1.0
50,classification_5,0.8083427149317194,0.7996512832313389,gpt-4o,None,12.0,12.0,2.0,2.0
51,classification_5,0.8083427149317194,0.7996512832313389,gpt-4o,with_deequ,22.0,22.0,1.0,1.0
52,classification_5,0.8083427149317194,0.7996512832313389,gpt-4o,with_experience,18.0,18.0,0.0,0.0
53,classification_5,0.8083427149317194,0.7996512832313389,tfdv,None,,,1.0,2.0
54,classification_6,0.8002696937051003,error,deequ,None,30.0,28.0,1.0,3.0
55,classification_6,0.8002696937051003,error,deequ,column_skipped,27.0,25.0,0.0,2.0
56,classification_6,0.8002696937051003,error,gpt-4.5-preview,None,18.0,17.0,1.0,2.0
57,classification_6,0.8002696937051003,error,gpt-4.5-preview,with_deequ,18.0,17.0,0.0,1.0
58,classification_6,0.8002696937051003,error,gpt-4.5-preview,with_experience,19.0,18.0,1.0,2.0
59,classification_6,0.8002696937051003,error,gpt-4o,None,12.0,11.0,0.0,1.0
60,classification_6,0.8002696937051003,error,gpt-4o,with_deequ,18.0,17.0,2.0,3.0
61,classification_6,0.8002696937051003,error,gpt-4o,with_experience,16.0,15.0,0.0,1.0
62,classification_6,0.8002696937051003,error,tfdv,None,,,1.0,2.0
63,classification_7,0.6734966124006367,error,deequ,None,30.0,28.0,1.0,3.0
64,classification_7,0.6734966124006367,error,deequ,column_skipped,27.0,25.0,0.0,2.0
65,classification_7,0.6734966124006367,error,gpt-4.5-preview,None,11.0,10.0,0.0,1.0
66,classification_7,0.6734966124006367,error,gpt-4.5-preview,with_deequ,13.0,12.0,0.0,1.0
67,classification_7,0.6734966124006367,error,gpt-4.5-preview,with_experience,14.0,13.0,0.0,1.0
68,classification_7,0.6734966124006367,error,gpt-4o,None,11.0,10.0,0.0,1.0
69,classification_7,0.6734966124006367,error,gpt-4o,with_deequ,11.0,10.0,2.0,3.0
70,classification_7,0.6734966124006367,error,gpt-4o,with_experience,10.0,9.0,1.0,2.0
71,classification_7,0.6734966124006367,error,tfdv,None,,,1.0,2.0
72,classification_8,0.8044623003959074,error,deequ,None,30.0,28.0,1.0,3.0
73,classification_8,0.8044623003959074,error,deequ,column_skipped,27.0,25.0,0.0,2.0
74,classification_8,0.8044623003959074,error,gpt-4.5-preview,None,16.0,15.0,0.0,1.0
75,classification_8,0.8044623003959074,error,gpt-4.5-preview,with_deequ,21.0,20.0,0.0,1.0
76,classification_8,0.8044623003959074,error,gpt-4o,None,8.0,7.0,0.0,1.0
77,classification_8,0.8044623003959074,error,gpt-4o,with_deequ,18.0,17.0,0.0,1.0
78,classification_8,0.8044623003959074,error,gpt-4o,with_experience,14.0,13.0,0.0,1.0
79,classification_8,0.8044623003959074,error,tfdv,None,,,1.0,2.0
80,classification_9,0.6987430048548866,error,deequ,None,30.0,28.0,1.0,3.0
81,classification_9,0.6987430048548866,error,deequ,column_skipped,27.0,25.0,0.0,2.0
82,classification_9,0.6987430048548866,error,gpt-4.5-preview,None,10.0,9.0,0.0,1.0
83,classification_9,0.6987430048548866,error,gpt-4.5-preview,with_deequ,12.0,11.0,0.0,1.0
84,classification_9,0.6987430048548866,error,gpt-4o,None,5.0,4.0,0.0,1.0
85,classification_9,0.6987430048548866,error,gpt-4o,with_deequ,12.0,11.0,0.0,1.0
86,classification_9,0.6987430048548866,error,gpt-4o,with_experience,10.0,9.0,0.0,1.0
87,classification_9,0.6987430048548866,error,tfdv,None,,,1.0,2.0
88,regression_0,,,deequ,None,30.0,28.0,1.0,3.0
89,regression_0,,,deequ,column_skipped,27.0,25.0,0.0,2.0
90,regression_0,,,gpt-4o,None,7.0,6.0,0.0,1.0
91,regression_0,,,gpt-4o,with_deequ,17.0,16.0,0.0,1.0
92,regression_0,,,gpt-4o,with_experience,12.0,11.0,0.0,1.0
93,regression_0,,,tfdv,None,,,1.0,2.0
94,regression_1,,,deequ,None,30.0,28.0,1.0,3.0
95,regression_1,,,deequ,column_skipped,27.0,25.0,0.0,2.0
96,regression_1,,,gpt-4o,None,12.0,11.0,0.0,1.0
97,regression_1,,,gpt-4o,with_deequ,10.0,9.0,1.0,2.0
98,regression_1,,,gpt-4o,with_experience,23.0,22.0,1.0,2.0
99,regression_1,,,tfdv,None,,,1.0,2.0
100,regression_2,,,deequ,None,30.0,28.0,1.0,3.0
101,regression_2,,,deequ,column_skipped,27.0,25.0,0.0,2.0
102,regression_2,,,gpt-4o,None,10.0,10.0,1.0,1.0
103,regression_2,,,gpt-4o,with_deequ,22.0,21.0,3.0,4.0
104,regression_2,,,gpt-4o,with_experience,19.0,18.0,2.0,3.0
105,regression_2,,,tfdv,None,,,1.0,2.0
106,regression_3,,,deequ,None,30.0,28.0,1.0,3.0
107,regression_3,,,deequ,column_skipped,27.0,25.0,0.0,2.0
108,regression_3,,,gpt-4o,None,5.0,4.0,0.0,1.0
109,regression_3,,,gpt-4o,with_deequ,14.0,13.0,0.0,1.0
110,regression_3,,,gpt-4o,with_experience,10.0,9.0,0.0,1.0
111,regression_3,,,tfdv,None,,,1.0,2.0
112,regression_4,,,deequ,None,30.0,28.0,1.0,3.0
113,regression_4,,,deequ,column_skipped,27.0,25.0,0.0,2.0
114,regression_4,,,gpt-4o,None,6.0,5.0,0.0,1.0
115,regression_4,,,gpt-4o,with_deequ,13.0,12.0,0.0,1.0
116,regression_4,,,gpt-4o,with_experience,12.0,11.0,0.0,1.0
117,regression_4,,,tfdv,None,,,1.0,2.0
