id,Age,age_bucket
33300,67,senior
33301,27,young_adult
33302,23,young_adult
33303,49,adult
33304,62,mid_senior
33305,3,child
33306,60,mid_senior
33307,74,senior
33308,85,senior
33309,150,senior
33310,30,young_adult
33311,69,senior
33312,35,adult
33313,55,mid_senior
33314,62,mid_senior
33315,44,adult
33316,48,adult
33317,18,young_adult
33318,85,senior
33319,42,adult
33320,28,young_adult
33321,64,mid_senior
33322,43,adult
33323,109,senior
33324,21,young_adult
33325,55,mid_senior
33326,70,senior
33327,29,young_adult
33328,64,mid_senior
33329,66,senior
33330,66,senior
33331,76,senior
33332,-87,child
33333,64,mid_senior
33334,82,senior
33335,78,senior
33336,42,adult
33337,35,adult
33338,33,adult
33339,69,senior
33340,52,mid_senior
33341,19,young_adult
33342,16,child
33343,18,young_adult
33344,30,young_adult
33345,23,young_adult
33346,24,young_adult
33347,47,adult
33348,88,senior
33349,47,adult
33350,33,adult
33351,36,adult
33352,67,senior
33353,78,senior
33354,122,senior
33355,38,adult
33356,99,senior
33357,85,senior
33358,78,senior
33359,58,mid_senior
33360,46,adult
33361,51,mid_senior
33362,65,senior
33363,34,adult
33364,78,senior
33365,63,mid_senior
33366,31,adult
33367,37,adult
33368,68,senior
33369,56,mid_senior
33370,98,senior
33371,34,adult
33372,-63,child
33373,32,adult
33374,69,senior
33375,82,senior
33376,22,young_adult
33377,37,adult
33378,39,adult
33379,65,senior
33380,42,adult
33381,60,mid_senior
33382,61,mid_senior
33383,36,adult
33384,38,adult
33385,18,young_adult
33386,-8,child
33387,21,young_adult
33388,25,young_adult
33389,58,mid_senior
33390,-60,child
33391,-45,child
33392,71,senior
33393,93,senior
33394,60,mid_senior
33395,53,mid_senior
33396,42,adult
33397,3,child
33398,43,adult
33399,41,adult
33400,35,adult
33401,25,young_adult
33402,42,adult
33403,73,senior
33404,73,senior
33405,0,child
33406,47,adult
33407,83,senior
33408,68,senior
33409,22,young_adult
33410,74,senior
33411,72,senior
33412,54,mid_senior
33413,25,young_adult
33414,37,adult
33415,71,senior
33416,63,mid_senior
33417,64,mid_senior
33418,41,adult
33419,14,child
33420,52,mid_senior
33421,59,mid_senior
33422,85,senior
33423,47,adult
33424,82,senior
33425,-7,child
33426,-15,child
33427,30,young_adult
33428,69,senior
33429,50,adult
33430,36,adult
33431,9,child
33432,54,mid_senior
33433,29,young_adult
33434,97,senior
33435,42,adult
33436,62,mid_senior
33437,-65,child
33438,60,mid_senior
33439,54,mid_senior
33440,40,adult
33441,70,senior
33442,85,senior
33443,58,mid_senior
33444,49,adult
33445,64,mid_senior
33446,95,senior
33447,46,adult
33448,64,mid_senior
33449,81,senior
33450,37,adult
33451,26,young_adult
33452,33,adult
33453,79,senior
33454,81,senior
33455,81,senior
33456,30,young_adult
33457,28,young_adult
33458,46,adult
33459,68,senior
33460,62,mid_senior
33461,69,senior
33462,37,adult
33463,84,senior
33464,83,senior
33465,32,adult
33466,84,senior
33467,78,senior
33468,84,senior
33469,37,adult
33470,75,senior
33471,65,senior
33472,37,adult
33473,66,senior
33474,83,senior
33475,39,adult
33476,32,adult
33477,45,adult
33478,72,senior
33479,90,senior
33480,62,mid_senior
33481,75,senior
33482,35,adult
33483,24,young_adult
33484,0,child
33485,46,adult
33486,122,senior
33487,84,senior
33488,81,senior
33489,48,adult
33490,55,mid_senior
33491,29,young_adult
33492,61,mid_senior
33493,34,adult
33494,105,senior
33495,27,young_adult
33496,84,senior
33497,42,adult
33498,81,senior
33499,30,young_adult
33500,33,adult
33501,62,mid_senior
33502,63,mid_senior
33503,77,senior
33504,20,young_adult
33505,97,senior
33506,21,young_adult
33507,95,senior
33508,65,senior
33509,56,mid_senior
33510,93,senior
33511,51,mid_senior
33512,81,senior
33513,17,child
33514,110,senior
33515,70,senior
33516,43,adult
33517,66,senior
33518,71,senior
33519,73,senior
33520,69,senior
33521,55,mid_senior
33522,82,senior
33523,43,adult
33524,47,adult
33525,74,senior
33526,-2,child
33527,81,senior
33528,-11,child
33529,80,senior
33530,70,senior
33531,61,mid_senior
33532,79,senior
33533,22,young_adult
33534,128,senior
33535,42,adult
33536,48,adult
33537,76,senior
33538,40,adult
33539,69,senior
33540,75,senior
33541,19,young_adult
33542,19,young_adult
33543,75,senior
33544,62,mid_senior
33545,36,adult
33546,41,adult
33547,84,senior
33548,19,young_adult
33549,16,child
33550,55,mid_senior
33551,36,adult
33552,-15,child
33553,84,senior
33554,74,senior
33555,87,senior
33556,40,adult
33557,27,young_adult
33558,42,adult
33559,52,mid_senior
33560,33,adult
33561,92,senior
33562,30,young_adult
33563,79,senior
33564,38,adult
33565,50,adult
33566,21,young_adult
33567,45,adult
33568,41,adult
33569,98,senior
33570,42,adult
33571,160,senior
33572,22,young_adult
33573,80,senior
33574,67,senior
33575,27,young_adult
33576,43,adult
33577,56,mid_senior
33578,63,mid_senior
33579,47,adult
33580,46,adult
33581,41,adult
33582,63,mid_senior
33583,43,adult
33584,41,adult
33585,76,senior
33586,50,adult
33587,90,senior
33588,57,mid_senior
33589,41,adult
33590,29,young_adult
33591,21,young_adult
33592,51,mid_senior
33593,49,adult
33594,42,adult
33595,46,adult
33596,65,senior
33597,45,adult
33598,65,senior
33599,65,senior
33600,73,senior
33601,77,senior
33602,33,adult
33603,53,mid_senior
33604,139,senior
33605,70,senior
33606,33,adult
33607,-10,child
33608,80,senior
33609,53,mid_senior
33610,24,young_adult
33611,39,adult
33612,27,young_adult
33613,35,adult
33614,-51,child
33615,-18,child
33616,44,adult
33617,103,senior
33618,63,mid_senior
33619,40,adult
33620,73,senior
33621,19,young_adult
33622,50,adult
33623,34,adult
33624,82,senior
33625,44,adult
33626,31,adult
33627,21,young_adult
33628,69,senior
33629,24,young_adult
33630,62,mid_senior
33631,26,young_adult
33632,54,mid_senior
33633,64,mid_senior
33634,67,senior
33635,82,senior
33636,80,senior
33637,56,mid_senior
33638,54,mid_senior
33639,43,adult
33640,69,senior
33641,22,young_adult
33642,65,senior
33643,27,young_adult
33644,64,mid_senior
33645,31,adult
33646,72,senior
33647,71,senior
33648,32,adult
33649,40,adult
33650,71,senior
33651,63,mid_senior
33652,126,senior
33653,32,adult
33654,28,young_adult
33655,33,adult
33656,58,mid_senior
33657,26,young_adult
33658,59,mid_senior
33659,66,senior
33660,53,mid_senior
33661,65,senior
33662,73,senior
33663,25,young_adult
33664,38,adult
33665,34,adult
33666,106,senior
33667,24,young_adult
33668,65,senior
33669,37,adult
33670,9,child
33671,56,mid_senior
33672,24,young_adult
33673,81,senior
33674,-20,child
33675,76,senior
33676,65,senior
33677,124,senior
33678,49,adult
33679,46,adult
33680,78,senior
33681,65,senior
33682,33,adult
33683,-4,child
33684,79,senior
33685,65,senior
33686,30,young_adult
33687,18,young_adult
33688,83,senior
33689,74,senior
33690,26,young_adult
33691,56,mid_senior
33692,67,senior
33693,74,senior
33694,69,senior
33695,79,senior
33696,62,mid_senior
33697,62,mid_senior
33698,26,young_adult
33699,37,adult
33700,116,senior
33701,19,young_adult
33702,103,senior
33703,83,senior
33704,-47,child
33705,80,senior
33706,62,mid_senior
33707,67,senior
33708,81,senior
33709,80,senior
33710,69,senior
33711,58,mid_senior
33712,135,senior
33713,68,senior
33714,30,young_adult
33715,41,adult
33716,13,child
33717,71,senior
33718,35,adult
33719,78,senior
33720,58,mid_senior
33721,60,mid_senior
33722,51,mid_senior
33723,80,senior
33724,56,mid_senior
33725,86,senior
33726,74,senior
33727,26,young_adult
33728,50,adult
33729,65,senior
33730,129,senior
33731,210,senior
33732,-33,child
33733,55,mid_senior
33734,66,senior
33735,24,young_adult
33736,36,adult
33737,43,adult
33738,28,young_adult
33739,26,young_adult
33740,41,adult
33741,57,mid_senior
33742,33,adult
33743,67,senior
33744,59,mid_senior
33745,41,adult
33746,75,senior
33747,61,mid_senior
33748,18,young_adult
33749,63,mid_senior
33750,49,adult
33751,70,senior
33752,60,mid_senior
33753,57,mid_senior
33754,67,senior
33755,98,senior
33756,39,adult
33757,22,young_adult
33758,66,senior
33759,20,young_adult
33760,77,senior
33761,7,child
33762,41,adult
33763,56,mid_senior
33764,34,adult
33765,140,senior
33766,35,adult
33767,26,young_adult
33768,18,young_adult
33769,85,senior
33770,52,mid_senior
33771,82,senior
33772,33,adult
33773,14,child
33774,33,adult
33775,6,child
33776,71,senior
33777,80,senior
33778,32,adult
33779,14,child
33780,24,young_adult
33781,39,adult
33782,55,mid_senior
33783,67,senior
33784,61,mid_senior
33785,61,mid_senior
33786,30,young_adult
33787,80,senior
33788,19,young_adult
33789,49,adult
33790,62,mid_senior
33791,62,mid_senior
33792,66,senior
33793,81,senior
33794,7,child
33795,45,adult
33796,124,senior
33797,64,mid_senior
33798,72,senior
33799,53,mid_senior
33800,55,mid_senior
33801,20,young_adult
33802,33,adult
33803,84,senior
33804,64,mid_senior
33805,61,mid_senior
33806,55,mid_senior
33807,14,child
33808,19,young_adult
33809,31,adult
33810,69,senior
33811,83,senior
33812,24,young_adult
33813,46,adult
33814,35,adult
33815,125,senior
33816,66,senior
33817,56,mid_senior
33818,81,senior
33819,53,mid_senior
33820,47,adult
33821,66,senior
33822,32,adult
33823,-17,child
33824,41,adult
33825,30,young_adult
33826,67,senior
33827,44,adult
33828,46,adult
33829,51,mid_senior
33830,44,adult
33831,78,senior
33832,37,adult
33833,94,senior
33834,38,adult
33835,53,mid_senior
