grade_segment,intent_segment,avg_income,avg_loan_size,total_loans
A,EDUCATION,64820.89,877841.18,1584
B,EDUCATION,63254.73,893299.15,1518
B,MEDICAL,59584.47,906496.99,1460
A,MEDICAL,62105.82,814184.29,1383
A,VENTURE,65047.18,949387.23,1323
A,PERSONAL,66493.55,789301.54,1311
B,PERSONAL,63195.51,908569.52,1263
B,VENTURE,64191.34,880678.37,1247
A,DEBTCONSOLIDATION,66490.26,955186.71,1187
B,DEBTCONSOLIDATION,66249.65,1192466.36,1094
C,EDUCATION,59578.69,979257.09,896
A,HOMEIMPROVEMENT,73726.45,824607.6,770
C,MEDICAL,53266.18,790056.17,770
B,HOMEIMPROVEMENT,76893.91,1236259.02,701
C,VENTURE,62164.1,1067002.38,661
C,PERSONAL,61087.58,928396.78,645
C,DEBTCONSOLIDATION,63618.8,923838.09,619
missing,EDUCATION,60308.14,971917.0,497
missing,MEDICAL,62798.77,685959.54,443
missing,VENTURE,62957.9,1019271.46,424
C,HOMEIMPROVEMENT,71031.14,785598.7,405
missing,PERSONAL,64494.55,1198867.31,400
missing,DEBTCONSOLIDATION,59846.35,1426010.06,348
D,EDUCATION,66649.8,1216994.56,326
D,PERSONAL,59006.42,937370.62,325
D,MEDICAL,51047.63,1198150.0,320
D,VENTURE,62397.27,792370.27,312
D,DEBTCONSOLIDATION,56218.5,756890.51,303
D,HOMEIMPROVEMENT,64476.46,1116023.51,252
missing,HOMEIMPROVEMENT,72549.03,394296.14,233
E,EDUCATION,59429.52,1462867.33,75
E,VENTURE,66551.26,1284802.05,73
E,HOMEIMPROVEMENT,68050.15,1677711.54,65
E,MEDICAL,48841.02,1010327.02,62
E,PERSONAL,61394.14,2136278.07,57
E,DEBTCONSOLIDATION,55944.31,13696.11,45
F,VENTURE,71028.57,13633.93,14
F,MEDICAL,47695.09,12418.18,11
F,DEBTCONSOLIDATION,45743.86,3368382.14,7
F,EDUCATION,72485.71,12042.86,7
F,PERSONAL,79666.67,12666.67,6
G,VENTURE,43800.0,14180.0,5
F,HOMEIMPROVEMENT,67150.0,6437.5,4
G,PERSONAL,89666.67,19666.67,3
G,MEDICAL,43500.0,11000.0,2
G,EDUCATION,54000.0,5000000.0,1
G,HOMEIMPROVEMENT,140000.0,6000000.0,1
