emp_length,grade_segment,total_loans,avg_interest_rate,defaults,default_percentage
-24.468794303177514,B,1,11.71,1.0,100.0
-22.842167609854872,D,1,17.27,1.0,100.0
-22.15681785535387,C,1,13.16,1.0,100.0
-16.170470323555055,E,1,16.35,1.0,100.0
-15.71407213429654,missing,1,15.95,1.0,100.0
-15.429985948971066,D,1,16.49,1.0,100.0
-15.324151246997182,B,1,11.86,1.0,100.0
-15.315657041529064,C,1,13.48,1.0,100.0
-14.422359482676173,A,1,6.76,1.0,100.0
-14.361086485252883,A,1,6.92,1.0,100.0
-14.137572594863927,B,1,9.96,1.0,100.0
-13.863741282488858,E,1,15.68,1.0,100.0
-13.692472318569735,D,1,14.59,1.0,100.0
-13.677532815018633,E,1,17.93,1.0,100.0
-13.544544567691464,E,1,16.7,1.0,100.0
-13.386073659332915,B,1,12.53,1.0,100.0
-13.212749403866713,missing,1,15.37,1.0,100.0
-12.66583690950611,B,1,12.21,1.0,100.0
-12.527837302630873,D,1,15.62,1.0,100.0
-12.500309179150037,C,1,13.48,1.0,100.0
-12.185558599473493,D,1,15.62,1.0,100.0
-12.131310329419126,C,1,13.85,1.0,100.0
-12.037902255442509,B,1,10.62,1.0,100.0
-11.803773449374372,A,1,6.99,1.0,100.0
-11.668587808457785,B,1,10.62,1.0,100.0
-11.668451793186208,D,1,14.59,1.0,100.0
-11.606962726076969,E,1,16.4,1.0,100.0
-11.55381772788598,B,1,11.71,1.0,100.0
-11.476373264573345,C,1,12.61,1.0,100.0
-11.33227121466469,D,1,14.09,1.0,100.0
-11.135779224990271,missing,1,13.92,1.0,100.0
-11.00064911716332,D,1,15.62,1.0,100.0
-10.787831468564766,C,1,12.68,1.0,100.0
-10.523599742728537,missing,1,13.22,1.0,100.0
-10.45777292300962,C,1,12.99,1.0,100.0
-10.435324666479048,E,1,17.19,1.0,100.0
-10.352684394471964,D,1,14.96,1.0,100.0
-10.175435931296397,A,1,8.49,1.0,100.0
-10.013956505949519,B,1,12.21,1.0,100.0
-9.990727489437266,E,1,14.5,1.0,100.0
-9.794743220475878,D,1,15.33,1.0,100.0
-9.256084356884953,missing,1,11.71,1.0,100.0
-9.248654022372591,C,1,13.43,1.0,100.0
-9.229083269195462,D,1,14.46,1.0,100.0
-9.217543184163285,D,1,15.62,1.0,100.0
-9.103390267932197,A,1,7.88,1.0,100.0
-9.049487157501433,D,1,14.54,1.0,100.0
-8.966586871947632,missing,1,6.91,1.0,100.0
-8.872716885033105,B,1,10.99,1.0,100.0
-8.795523934274785,D,1,15.65,1.0,100.0
-8.755034012509118,B,1,10.64,1.0,100.0
-8.702840420744444,D,1,16.29,1.0,100.0
-8.679599742368188,D,1,13.87,1.0,100.0
-8.623224514195162,E,1,16.45,1.0,100.0
-8.601526697072112,E,1,16.35,1.0,100.0
-8.588976178984069,D,1,15.65,1.0,100.0
-8.507781452641643,D,1,14.09,1.0,100.0
-8.445051161852406,B,1,9.91,1.0,100.0
-8.421338235501716,D,1,14.61,1.0,100.0
-8.103434075352634,C,1,12.73,1.0,100.0
-7.949203275367896,A,1,8.94,1.0,100.0
-7.924219467798191,A,1,8.59,1.0,100.0
-7.894757498769849,D,1,17.49,1.0,100.0
-7.747644570971399,B,1,11.99,1.0,100.0
-7.731985555634657,B,1,12.21,1.0,100.0
-7.665840257121568,D,1,15.99,1.0,100.0
