grade_segment,intent_segment,avg_income,avg_loan_size,total_loans
A,EDUCATION,64274.97,31979.43,1596
B,EDUCATION,63030.31,34843.77,1549
B,MEDICAL,59167.1,33984.46,1461
A,MEDICAL,63182.25,30403.29,1361
A,VENTURE,64899.1,31285.3,1340
A,PERSONAL,66021.66,32190.35,1334
B,PERSONAL,63361.0,34641.95,1252
B,VENTURE,64994.04,35204.58,1238
A,DEBTCONSOLIDATION,65872.44,28815.89,1172
B,DEBTCONSOLIDATION,66018.54,36133.3,1105
C,EDUCATION,59635.42,31053.46,890
C,MEDICAL,54877.64,34592.63,767
A,HOMEIMPROVEMENT,74160.24,30302.36,752
B,HOMEIMPROVEMENT,76436.79,37452.06,692
C,VENTURE,61512.79,33537.33,655
C,PERSONAL,62149.26,32942.9,637
C,DEBTCONSOLIDATION,62969.66,32311.52,614
NA,MEDICAL,58243.87,33143.14,463
NA,EDUCATION,62557.08,30505.19,462
NA,VENTURE,62633.0,35139.54,428
C,HOMEIMPROVEMENT,71512.01,34422.87,410
NA,PERSONAL,64065.99,37526.89,396
NA,DEBTCONSOLIDATION,64334.34,37064.23,346
D,PERSONAL,59008.22,37590.57,326
D,EDUCATION,66521.89,38665.38,325
D,MEDICAL,50812.89,36804.85,325
D,DEBTCONSOLIDATION,56102.55,34781.94,310
D,VENTURE,61425.75,39023.93,305
D,HOMEIMPROVEMENT,64127.96,42034.0,250
NA,HOMEIMPROVEMENT,72159.54,39545.0,250
E,VENTURE,66615.03,38437.5,76
E,EDUCATION,60076.72,36848.67,75
E,HOMEIMPROVEMENT,68539.94,38789.29,70
E,MEDICAL,50449.89,43947.13,61
E,PERSONAL,60148.53,38575.0,57
E,DEBTCONSOLIDATION,54928.45,59632.14,49
F,VENTURE,70953.85,26375.0,13
F,MEDICAL,47695.09,69690.91,11
F,DEBTCONSOLIDATION,45743.86,80810.71,7
F,EDUCATION,71000.0,55716.67,6
F,HOMEIMPROVEMENT,71850.0,18750.0,6
F,PERSONAL,63520.0,41800.0,5
G,VENTURE,45750.0,80437.5,4
G,PERSONAL,89666.67,19666.67,3
G,MEDICAL,43500.0,110000.0,2
G,EDUCATION,54000.0,50000.0,1
G,HOMEIMPROVEMENT,140000.0,6000.0,1
