income_segment,loan_grade,total_customers,avg_loan_amount
High Income,A,775,43703.903225806454
High Income,B,766,54952.513054830284
High Income,C,338,46395.48816568047
High Income,D,152,60383.05921052631
High Income,E,37,47520.27027027027
High Income,F,3,90000.0
High Income,G,2,15500.0
High Income,NA,216,60687.84722222222
Low Income,A,2409,24036.5400581154
Low Income,B,2606,25774.002302379125
Low Income,C,1605,24995.404984423676
Low Income,D,813,25926.81426814268
Low Income,E,162,31309.413580246914
Low Income,F,17,30347.058823529413
Low Income,G,4,59250.0
Low Income,NA,867,24372.635524798156
Medium Income,A,4371,32502.247769389156
Medium Income,B,3925,37493.69605095541
Medium Income,C,2030,37081.30541871921
Medium Income,D,876,45341.124429223746
Medium Income,E,189,49583.59788359788
Medium Income,F,28,55180.357142857145
Medium Income,G,5,77750.0
Medium Income,NA,1262,37884.21156893819
