emp_length,grade_segment,total_loans,avg_interest_rate,defaults,default_percentage
0.0,F,5,19.21,5.0,100.0
1.0,G,3,20.25,3.0,100.0
4.0,G,1,21.21,1.0,100.0
5.0,F,1,19.41,1.0,100.0
9.0,G,1,20.86,1.0,100.0
15.0,E,1,18.39,1.0,100.0
17.0,F,1,17.03,1.0,100.0
25.0,B,1,12.18,1.0,100.0
26.0,D,2,16.29,2.0,100.0
2.0,E,58,16.55,50.0,86.21
1.0,F,7,18.41,6.0,85.71
0.0,E,61,16.94,51.0,83.61
1.0,E,47,16.71,39.0,82.98
2.0,D,276,15.28,224.0,81.16
0.0,D,249,15.33,200.0,80.32
2.0,F,5,19.49,4.0,80.0
1.0,D,194,15.25,154.0,79.38
4.0,F,4,18.97,3.0,75.0
6.0,F,4,18.54,3.0,75.0
0.0,G,3,22.02,2.0,66.67
3.0,F,3,19.58,2.0,66.67
4.0,E,33,16.96,20.0,60.61
9.0,F,5,19.15,3.0,60.0
12.0,D,20,15.56,12.0,60.0
20.0,C,5,13.31,3.0,60.0
3.0,E,45,16.98,26.0,57.78
6.0,E,30,16.81,16.0,53.33
6.0,D,143,15.45,75.0,52.45
3.0,D,195,15.4,99.0,50.77
7.0,D,125,15.46,63.0,50.4
2.0,G,2,21.14,1.0,50.0
8.0,G,2,19.74,1.0,50.0
10.0,D,30,15.53,15.0,50.0
13.0,E,4,17.44,2.0,50.0
14.0,D,16,15.29,8.0,50.0
14.0,E,2,16.52,1.0,50.0
20.0,D,4,16.29,2.0,50.0
22.0,B,2,10.18,1.0,50.0
11.0,D,35,15.53,17.0,48.57
4.0,D,196,15.45,94.0,47.96
7.0,E,17,17.28,8.0,47.06
9.0,D,67,15.42,29.0,43.28
5.0,E,24,16.81,10.0,41.67
8.0,E,10,17.23,4.0,40.0
9.0,E,20,16.74,8.0,40.0
11.0,E,10,17.63,4.0,40.0
5.0,D,160,15.61,61.0,38.13
15.0,D,8,14.89,3.0,37.5
8.0,D,78,15.21,26.0,33.33
10.0,E,6,17.18,2.0,33.33
13.0,D,12,15.49,4.0,33.33
18.0,D,3,15.72,1.0,33.33
19.0,D,3,16.49,1.0,33.33
21.0,D,3,15.91,1.0,33.33
20.0,B,8,10.56,2.0,25.0
2.0,missing,285,11.13,58.0,20.35
1.0,missing,208,11.23,42.0,20.19
12.0,E,5,17.34,1.0,20.0
16.0,D,5,15.18,1.0,20.0
17.0,C,5,13.36,1.0,20.0
17.0,D,10,15.61,2.0,20.0
0.0,missing,300,10.93,58.0,19.33
0.0,C,634,13.48,116.0,18.3
1.0,C,433,13.36,74.0,17.09
7.0,F,6,17.84,1.0,16.67
21.0,C,6,13.46,1.0,16.67
2.0,C,552,13.5,80.0,14.49
19.0,C,7,13.33,1.0,14.29
7.0,C,247,13.57,35.0,14.17
15.0,B,43,10.83,6.0,13.95
6.0,C,297,13.58,41.0,13.8
0.0,B,860,11.01,118.0,13.72
17.0,B,15,10.91,2.0,13.33
3.0,C,474,13.48,63.0,13.29
1.0,B,667,11.09,88.0,13.19
4.0,missing,249,10.71,32.0,12.85
7.0,missing,175,10.58,22.0,12.57
14.0,C,40,13.82,5.0,12.5
9.0,C,155,13.37,19.0,12.26
10.0,C,50,13.51,6.0,12.0
4.0,C,394,13.58,45.0,11.42
13.0,C,45,13.62,5.0,11.11
16.0,C,9,13.14,1.0,11.11
21.0,B,9,10.8,1.0,11.11
5.0,C,323,13.57,35.0,10.84
2.0,B,931,11.03,100.0,10.74
5.0,missing,235,10.67,25.0,10.64
3.0,B,827,10.96,85.0,10.28
9.0,B,302,10.93,31.0,10.26
3.0,missing,249,10.56,25.0,10.04
4.0,B,644,11.05,62.0,9.63
5.0,B,840,11.04,79.0,9.4
6.0,missing,192,10.28,18.0,9.38
11.0,C,75,13.4,7.0,9.33
8.0,missing,121,9.89,11.0,9.09
14.0,missing,22,10.04,2.0,9.09
21.0,A,11,7.51,1.0,9.09
14.0,B,78,11.16,7.0,8.97
11.0,missing,56,10.07,5.0,8.93
8.0,B,359,11.01,31.0,8.64
8.0,C,156,13.54,13.0,8.33
6.0,B,610,11.04,49.0,8.03
1.0,A,482,7.55,37.0,7.68
10.0,missing,40,10.16,3.0,7.5
9.0,missing,96,10.17,7.0,7.29
12.0,C,55,13.52,4.0,7.27
0.0,A,904,7.57,65.0,7.19
10.0,B,117,10.98,8.0,6.84
12.0,missing,45,9.39,3.0,6.67
15.0,missing,15,9.57,1.0,6.67
3.0,A,801,7.33,53.0,6.62
11.0,B,153,11.08,10.0,6.54
2.0,A,773,7.42,46.0,5.95
7.0,B,550,11.04,32.0,5.82
4.0,A,660,7.33,34.0,5.15
5.0,A,741,7.28,36.0,4.86
12.0,B,130,10.9,6.0,4.62
15.0,C,22,13.48,1.0,4.55
6.0,A,688,7.23,30.0,4.36
14.0,A,94,7.21,4.0,4.26
9.0,A,334,7.28,14.0,4.19
10.0,A,171,7.38,7.0,4.09
12.0,A,173,7.14,7.0,4.05
13.0,B,83,11.15,3.0,3.61
17.0,A,29,6.98,1.0,3.45
15.0,A,61,7.17,2.0,3.28
13.0,missing,32,10.07,1.0,3.13
8.0,A,482,7.28,15.0,3.11
7.0,A,606,7.26,18.0,2.97
11.0,A,252,7.27,5.0,1.98
13.0,A,163,7.08,2.0,1.23
8.0,F,1,20.89,0.0,0.0
10.0,F,1,18.62,0.0,0.0
11.0,F,2,17.45,0.0,0.0
13.0,F,1,15.76,0.0,0.0
14.0,F,1,18.62,0.0,0.0
16.0,A,67,7.23,0.0,0.0
16.0,B,29,10.83,0.0,0.0
16.0,E,1,15.68,0.0,0.0
16.0,missing,10,9.05,0.0,0.0
17.0,E,1,17.04,0.0,0.0
17.0,missing,4,9.37,0.0,0.0
18.0,A,30,6.97,0.0,0.0
18.0,B,11,11.01,0.0,0.0
18.0,C,7,13.31,0.0,0.0
18.0,F,1,21.74,0.0,0.0
18.0,missing,3,10.71,0.0,0.0
19.0,A,10,7.17,0.0,0.0
19.0,B,6,10.92,0.0,0.0
19.0,F,1,18.78,0.0,0.0
19.0,missing,1,14.26,0.0,0.0
20.0,A,11,6.91,0.0,0.0
20.0,E,2,17.99,0.0,0.0
20.0,missing,1,8.9,0.0,0.0
21.0,missing,3,10.79,0.0,0.0
22.0,A,3,6.4,0.0,0.0
22.0,C,1,14.65,0.0,0.0
22.0,D,1,14.84,0.0,0.0
22.0,missing,1,11.83,0.0,0.0
23.0,A,3,7.82,0.0,0.0
23.0,B,1,9.63,0.0,0.0
23.0,D,1,14.61,0.0,0.0
24.0,A,4,7.73,0.0,0.0
24.0,B,2,10.09,0.0,0.0
24.0,missing,1,5.99,0.0,0.0
25.0,A,1,7.74,0.0,0.0
25.0,C,2,13.63,0.0,0.0
26.0,A,2,7.14,0.0,0.0
26.0,B,2,9.95,0.0,0.0
27.0,B,1,9.99,0.0,0.0
27.0,C,1,13.23,0.0,0.0
28.0,B,1,10.65,0.0,0.0
29.0,D,1,14.96,0.0,0.0
30.0,C,1,12.73,0.0,0.0
31.0,A,1,8.94,0.0,0.0
31.0,B,1,9.91,0.0,0.0
35.0,A,1,5.42,0.0,0.0
39.0,missing,1,11.36,0.0,0.0
41.0,D,1,13.55,0.0,0.0
